lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Latin14087,gloss_type_Latin14087,gloss_form_Latin14087
p459_l13_o05,12r,nutus,potestas,S22,F2,,,,75v,Notus ,p459_l13_o05_a,notam̃,S22,F2,normal,,,,p459,81r,Notus. ,p459_l13_o05_a,Notio ⁊ Notam̃,S22,F3,,,,Notꝰ a nosco,S54,F3
p459_l13_o03,12r,nisus,conamen,S22,F2,,,,75v,nisus ,p459_l13_o03_a,conam̃,S22,F2,normal,p459_l13_o03_b,S63,F3,p459,81r,nisus ,p459_l13_o03_a,audeo A nitor Conam̃ conatio,S22,F3,,,,Nisus conam̃ cestam̃,S22,F3
p461_l17_o06,14r,ingurgito,in mergo,S22,F3,,,,76v,ingurgito ,,,,,,p461_l17_o06_a,S63,F2,p461,82v,ingurgito ,p461_l17_o06_a,deglutino absorbeo,S22,F3,,,,Ingurgito. p̃cipitẽdo,S22,F2
p461_l19_o07,14r,procrastino,ꝓduco in cras,S54,F4,,,,76v,ꝓcrastino ,p461_l19_o07_a,ꝓtelo ꝓlongo,S22,F3,normal,p461_l19_o07_b,S63,F2,p461,82v,ꝓcrastino ,p461_l19_o07_a,ꝓtelo ꝓlongo ꝑendino differo aliꝗd,S23,F4,,,,ꝑendie.  ꝓ̃cras. uel p̃tertium diem ł antediem.,S23,F3
p461_l20_o02,14r,conperendino,ꝑmaneο ł tardo.,S22,F3,,,,76v,Comꝑendino ,p461_l20_o02_a,s. ꝓlongo,S22,F2,normal,p461_l20_o02_b,S63,F2,p461,82v,coꝑendino ,p461_l20_o02_a,÷ ꝓlongo differo in aliũ diem in longũ mitto,S23,F4,,,,cõꝑendino. in t̃tiũ diẽ ꝓtraho ł differo,S23,F4
p462_l06_o07,14v,uello,rũpo,S22,F2,,,,76v,uello ,p462_l06_o07_a,carpo,S22,F2,normal,,,,p462,83r,uello ,p462_l06_o07_a,decio destruo carpo eradico,S22,F3,,,,Vello moueo,S22,F2
p463_l08_o06,16r,bulla,,,,bulla dr̃ q: sit a uento/ł ornam̃tũ cingulorum,S23,F4,77r,Bulla ,p463_l08_o06_a,uesiculę camelorũ,S23,F3,normal,p463_l08_o06_b,S63,F2,p463,83r,bulla ,p463_l08_o06_a,ornam̃tũ camelorũ si/ue uesicule in aqua,S23,F4,,,,Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ,S23,F4
p463_l09_o08,16r,largior,tribuo,S22,F2,,,,77r,largior ,p463_l09_o08_a,tribuo,S22,F2,normal,,,,p463,83r,largio ,p463_l09_o08_a,tribuo,S22,F2,,,,Largior g{r}atiã p̃sto,S23,F4
p463_l25_o02,16v,meta,limes,S22,F2,,,,77v,m&a ,p463_l25_o02_a,finis,S22,F2,normal,p463_l25_o02_b,S63,F3,p463,83v,meta ,p463_l25_o02_a,finis t̃minus,S22,F3,,,,M&a finis,S22,F2
p463_l25_o03,16v,metor,t̃mino finio,S22,F3,,,,77v,M&or ,p463_l25_o03_a,figo,S22,F2,normal,,,,p463,83v,Metor ,p463_l25_o03_a,figo t̃mino,S22,F3,,,,termino finio,S22,F2
p463_l25_o09,16v,metior,mensuro,S22,F2,,,,77v,M&ior ,p463_l25_o09_a,m̃suro,S22,F2,normal,,,,p463,83v,metior ,p463_l25_o09_a,÷ mensuro,S22,F2,,,,M&ior constituo castra designo,S23,F4
p465_l25_o11,18r,polliceor,ꝓmitto,S22,F2,,,,78r,polliceor ,p465_l25_o11_a,spondeo,S22,F2,normal,,,,p465,84r,Polliceor ,p465_l25_o11_a,ꝓmitto spondeo,S22,F3,,,,ꝓmitto polliceor. ,S22,F2
p465_l28_o07,18r,amitior,tego,S22,F2,,,,78r,Amicior ,p465_l28_o07_a,circũdo,S22,F2,normal,p465_l28_o07_b,S63,F2,p465,84r,amitior ,p465_l28_o07_a,circũdo induco Ab amicus ł amictus,S54,F3,,,,Amicior . Vestio circũdo induo togo,S22,F3
p466_l05_o04,18v,uador,error,S22,F2,,,,78v,Vador ,p466_l05_o04_a,a uado,S54,F3,normal,p466_l05_o04_b,S63,F2,p466,84v,uador ,p466_l05_o04_a,a uado,S54,F3,,,,Vador. ꝓmitto. causã ago. fidẽ fatio,S23,F4
p466_l21_o09,19r,paciscor,pactũ facio,S23,F4,,,,78v,Paciscor ,p466_l21_o09_a,pacẽ facio,S23,F4,normal,,,,p466,84v,pacisor ,p466_l21_o09_a,pacẽ fatio,S23,F4,,,,Pasciscor pacẽ redintegror,S23,F4
p466_l22_o02,19r,adipiscor,inueniscor,S22,F2,,,,78v,adipiscor ,p466_l22_o02_a,consequor,S22,F2,normal,,,,p466,84v,Adipiscor; ,p466_l22_o02_a,consequor inuenio,S22,F3,,,,Adipiscor conor / Nasiciscor Adipiscor Assequor,S22,F3
