lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Latin14087,gloss_type_Latin14087,gloss_form_Latin14087
p451_l12_o07,05r,Ligurrio,lango ł gusto.,S22,F3,,,,72r,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,,p451,75r,Ligurio ,p451_l12_o07_a,lingue gusto/lingo,S22,F3,,,,Ligurrio deglutio,S22,F2
p451_l13_o01,05r,Prurio,saniem emitte iđ scabiem,S23,F4,,,,72r,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,,p451,75r,Prurio ,p451_l13_o01_a,uerbũ leꝓsi ÷ scabeo,S23,F3,,,,Prurio /scalpo ł uror,S22,F3
p451_l23_o05,05r,potior,utor,S22,F2,,,,72r,potior ,p451_l23_o05_a,fruor,S22,F2,normal,,,,p451,75v,potior ,p451_l23_o05_a,possideo,S22,F2,,,,Potior fruor,S22,F2
p452_l17_o04,06r,mancipo,,,,,,,72v,mancipo ,p452_l17_o04_a,subdo,S22,F2,normal,,,,p452,76r,Mancipo ,p452_l17_o04_a,subdo/manu capio,S22,F3,,,,Mancipo. manu capta trado  ł in seruitutẽ redigo  ł manifesto,S23,F4
p452_l18_o07,06r,presideo,auxilio,S22,F2,,,,72v,pręsideo ,p452_l18_o07_a,p̃sum,S22,F2,normal,,,,p452,76r,Pręsideo ,p452_l18_o07_a,antesedeo/seu pręsum,S22,F3,,,,P̃sideo ꝓtego subleuo opitulor. suffragor ł ꝓpugno,S22,F3
p452_l21_o01,06r,obsequor,obedio pareo,S22,F3,,,,72v,Obsequor ,p452_l21_o01_a,obtẽpero,S22,F2,normal,,,,p452,76r,Obsequor ,p452_l21_o01_a,oboedio/obtẽmpero,S22,F3,,,,Obsequor famulor,S22,F2
p452_l22_o04,06r,iusticium ,luctus publicus,S23,F3,,,,72v,iusticiũ ,p452_l22_o04_a,locꝰ UBI IUSTI ͭ ͥ ͣ FIT,S23,F4,shorthand,,,,p452,76r,Iustitium ,p452_l22_o04_a,locus ubi iustitia sit,S23,F4,,,,Iustitum publicus luctus ł puiblici iuris silentũ,S23,F3
p452_l23_o03,06r,perpendo ,Libro / coequo ,S22,F3,ꝑpendiculũ dt᷑ ++ /coequant᷑ maceria,S23,F4,72v,Perpendo ,p452_l23_o03_a,m̃suro ł penso,S22,F3,normal,,,,p452,76r,Perpendo ,p452_l23_o03_a,coęquo ꝑpendo/mensuro,S22,F3,,,,ꝑpendo. m&ior ł estimo. ł libro ł diligent̃ uideo;,S23,F4
p452_l24_o07,06r,ferculum,Uas ubi cibu ferunt̃,S23,F4,,,,72v,ferculũ ,p452_l24_o07_a,discus,S22,F2,normal,,,,p452,76r,Ferculũ ,p452_l24_o07_a,discus mensa,S22,F3,,,,ferculũ discus,S22,F2
p453_l10_o11,06v,marceo,defitio areo tabesco siue macior,S22,F3,,,,73r,Marceo ,p453_l10_o11_a,areo,S22,F2,normal,,,,p453,76v,Marceo ,p453_l10_o11_a,areo,S22,F2,,,,Marceo. langueo. ł areo,S22,F3
