,folio_Bamberg,lemma_id,lemma_Bamberg,gloss_id_Bamberg,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,folio_Lat7499,lemma_Lat7499,gloss_id_Lat7499,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
69,71r,p448_l12_o02,ostendentia ,p448_l12_o02_a,illa uerba,S53,F3,normal,,,,73v,ostendentia. ,p448_l12_o02_a,manifestantia / .s. ipsa uerba,S22,F2,,,
70,71r,p448_l13_o01,t̃minalis ,p448_l13_o01_a,FIN ͣ ᷝ ͥ ᷤ,S22,F2,shorthand,,,,73v,terminalis ,p448_l13_o01_a,finalis,S22,F2,,,
71,71r,p448_l13_o03,qua ,p448_l13_o03_a,s̃ obseruationes,S3232,F2,normal,,,,73v,qua ,p448_l13_o03_a,s̃ obseruatione scđę ꝑsonę,S3232,F3,,,
72,71r,p448_l13_o04,dinosci ,p448_l13_o04_a,cͦgnosci,S22,F2,normal,,,,73v,dinosci ,p448_l13_o04_a,cognosci / intellegi,S22,F3,,,
73,71r,p448_l13_o06-07,artiũ scriptores ,p448_l13_o06-07_a,artigraphi,S23,F2,normal,,,,73v,artium scriptores ,p448_l13_o06-07_a,÷ artigraphi / grammaticę artis auctores,S23,F3,,,
74,71r,p448_l14_o01,romanos ,p448_l14_o01_a,latinos,S22,F2,normal,,,,73v,romanos ,p448_l14_o01_a,latinos,S22,F2,,,
75,71r,p448_l14_o02,penitꝰ ,p448_l14_o02_a,radicitꝰ,S22,F2,normal,,,,73v,penitꝰ ,p448_l14_o02_a,Radicitꝰ,S22,F2,,,
76,71r,p448_l14_o04,incerta ,p448_l14_o04_a,dubia,S22,F2,normal,,,,73v,incerta ,p448_l14_o04_a,dubia,S22,F2,,,
77,71r,p448_l14_o08,cogim᷑ ,p448_l14_o08_a,cõpellim᷑,S22,F2,normal,,,,73v,cogimur ,p448_l14_o08_a,cõpellim᷑ s. nisi ueniamꝰ,S22,F3,,,
78,71r,p448_l15_o02,t̃tię ,p448_l15_o02_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S3232,F2,normal,,,,73v,tertię ,p448_l15_o02_a,.s. c̃iuguationis,S53,F2,,,
79,71r,p448_l15_o06,primę ,p448_l15_o06_a,CONIUGA ͭ ͥ ͦ ᷠ ͥ ᷤ,S53,F2,shorthand,,,,73v,primę ,p448_l15_o06_a,.s.c̃iugat̃,S53,F2,,,
80,71r,p448_l16_o09,possĩ ,p448_l16_o09_a,CONIUNCTI ͧ ͧ ᷤ MODUS,S333,F3,shorthand,,,,73v,possim ,p448_l16_o09_a,c̃iunctuius modus,S333,F3,,,
81,71r,p448_l18_o06,positionis ,p448_l18_o06_a,pͥmae ꝑsonae,S53,F3,normal,,,,73v,positionis ,p448_l18_o06_a,÷ pͥmę ꝑsonę,S53,F3,,,
