,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg
67,p449_l17_o03,03r,arbitror,estimor,S22,F2,,,,71v,arbitror ,p449_l17_o03_a,reor  autumo,S22,F3,normal,,,
68,p449_l17_o05,03r,discerni,diuidi,S22,F2,,,,71v,discerni ,p449_l17_o05_a,distingui,S22,F2,normal,,,
69,p449_l18_o01,03r,fatilior,leuior,S22,F2,,,,71v,facilior ,p449_l18_o01_a,planior leuior,S22,F3,normal,,,
70,p449_l19_o13,03v,penitus ,uidelicet omnino.,S22,F3,,,,71v,penitꝰ ,p449_l19_o13_a,funditꝰ,S22,F2,normal,,,
71,p449_l20_o06,03v,reboo,ĩ resono.,S22,F2,,,,71v,reboo ,p449_l20_o06_a,resono,S22,F2,normal,p449_l20_o06_b,S53,F5
72,p449_l22_o06,03v,reboantq;,&  resonant,S22,F2,,,,71v,reboant ,p449_l22_o06_a,+,S22,F2,shorthand,,,
73,p449_l22_o06,03v,reor ,estimo,S22,F2,,,,71v,reboant ,p449_l22_o06_a,+,S22,F2,shorthand,,,
74,p449_l22_o10,03v,olimpus,nom̃ montis ẽ,S554,F3,,,,71v,olimpus ,p449_l22_o10_a,mons ÷,S554,F4,normal,,,
75,p449_l22_o10,03v,fateor,loquor /ꝓfiteor,S22,F3,,,,71v,olimpus ,p449_l22_o10_a,mons ÷,S554,F4,normal,,,
76,p449_l23_o02,03v,inchoo,incipio,S22,F2,,,,71v,inchoo ,p449_l23_o02_a,incipio,S22,F2,normal,,,
77,p449_l23_o09,03v,traductum,d,S611,F1,,,,71v,traductũ ,p449_l23_o09_a,deductũ diriuatũ,S22,F3,normal,,,
78,p449_l25_o04,03v,(add),ueteres,S611,F2,,,,71v,u&eres ,p449_l25_o04_a,antiquos,S22,F2,normal,,,
79,p449_l26_o02,03v,sola,coniugatio,S3232,F2,,,,71v,sola ,p449_l26_o02_a,CONIUGA ͭ ͥ ͦ SECUND ͣ,S53,F3,normal,,,
80,p449_l26_o11,03v,aliae,+++ c̃. uix,S611,F3,,,,71v,alię ,p449_l26_o11_a,+,S53,F2,shorthand,,,
81,p449_l28_o05,03v,secunda,s c̃iugatio,S53,F2,,,,71v,scđa ,p449_l28_o05_a,CONIUGA ͭ ͥ ͦ,S53,F2,shorthand,p449_l28_o05_b,S63,F4
82,p449_l29_o01,03v,spetialẽ,ꝓpͥã,S22,F2,,,,71v,specialẽ  ,p449_l29_o01_a,PROPRI ͣ ͫ POSSID ͤ ͭ,S53,F4,shorthand,,,
