,lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Lat7499,lemma_Lat7499,gloss_id,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id_Lat7499,marginal_note_type_Lat7499,marginal_note_form_Lat7499
70,p449_l07_o01,03r,lectito,frequent̃ lego,S23,F3,,,,73v,lectito ,p449_l07_o01_a,ł lecto freq̃t̃ lego,S23,F3,,,
71,p449_l07_o02,03r,dictito ,frequent̃ dico,S23,F3,,,,74r,"Dictito,  ",,,,,p449_l07_o02_a,S23,F3
72,p449_l07_o03,03r,cantito,frequent̃ cano,S23,F3,,,,74r,Cantito ,p449_l07_o03_a,frequent̃ cano,S23,F3,,,
73,p449_l07_o04,03r,cursito,frequent̃curso,S23,F3,,,,74r,Cursito ,p449_l07_o04_a,freq̃t̃ curro,S23,F3,,,
74,p449_l07_o05,03r,uisito,frequent̃ uideo,S23,F3,,,,74r,Visito ,p449_l07_o05_a,freq̃t uideo,S23,F3,p449_l07_o05_b,S331,F5
75,p449_l07_o08,03r,merso ,frequent̃ mergo,S23,F3,,,,74r,Merso ,p449_l07_o08_a,a m̃go ũbo,S54,F3,,,
76,p449_l07_o10,03r,nexo,frequent̃ necto,S23,F3,,,,74r,Nexo ,p449_l07_o10_a,nodo ligo freq̃ necto iũgo,S22,F3,,,
77,p449_l09_o04,03r,eodẽ ,s libro,S3232,F2,,,,74r,eodem ,p449_l09_o04_a,s. libro,S3232,F2,,,
78,p449_l10_o03,03r,gelidos,allidos /frigidos,S22,F3,,,,74r,gelidos ,p449_l10_o03_a,frigidos,S22,F2,,,
79,p449_l15_o08,03r,anomala,inequalia,S22,F2,,,,74r,anomala ,p449_l15_o08_a,illegalia scilic&,S22,F2,,,
80,p449_l17_o02,03r,differentiis ,arbitror,,F2,,,,74r,differentiis ,p449_l17_o02_a,"s. etsi inue/niant᷑ In quattuor
                        coniugationib;",S53,F4,,,
81,p449_l17_o03,03r,arbitror,estimor,S22,F2,,,,74r,arbitror ,p449_l17_o03_a,iudico,S22,F2,,,
82,p449_l17_o05,03r,discerni,diuidi,S22,F2,,,,74r,discernũ ,p449_l17_o05_a,distinguo,S22,F2,,,
83,p449_l18_o01,03r,fatilior,leuior,S22,F2,,,,74r,facilior ,p449_l18_o01_a,planior leuior.,S22,F3,,,
84,p449_l19_o13,03v,penitus ,uidelicet omnino.,S22,F3,,,,74r,penitus ,p449_l19_o13_a,funditꝰ om̃ino,S22,F3,,,
85,p449_l20_o06,03v,reboo,ĩ resono.,S22,F2,,,,74r,reboo ,p449_l20_o06_a,resono,S22,F2,,,
86,p449_l22_o06,03v,reboantq;,&  resonant,S22,F2,,,,74r,Reboant ,p449_l22_o06_a,resonant,S22,F2,,,
87,p449_l22_o06,03v,reor ,estimo,S22,F2,,,,74r,Reboant ,p449_l22_o06_a,resonant,S22,F2,,,
88,p449_l22_o10,03v,olimpus,nom̃ montis ẽ,S554,F3,,,,74r,olympus ,p449_l22_o10_a,mons excelsus,S554,F3,,,
89,p449_l22_o10,03v,fateor,loquor /ꝓfiteor,S22,F3,,,,74r,olympus ,p449_l22_o10_a,mons excelsus,S554,F3,,,
90,p449_l23_o02,03v,inchoo,incipio,S22,F2,,,,74r,inchoo ,p449_l23_o02_a,÷ incipio qͣsi inchao,S22,F3,,,
91,p449_l23_o09,03v,traductum,d,S611,F1,,,,74r,traductu ,p449_l23_o09_a,diriuatũ deductũ,S22,F3,,,
92,p449_l25_o04,03v,(add),ueteres,S611,F2,,,,74r,ueteres ,p449_l25_o04_a,antiquos actores artiũ disciplinarũ / artiũ scriptores,S23,F3,,,
93,p449_l26_o11,03v,aliae,+++ c̃. uix,S611,F3,,,,74r,alię ,p449_l26_o11_a,c̃iugatioñ; ÷ suas ꝓprias terminationes,S53,F3,,,
94,p449_l28_o05,03v,secunda,s c̃iugatio,S53,F2,,,,74r,scđa ,p449_l28_o05_a,c̃iugatio,S3232,F2,,,
95,p449_l29_o01,03v,spetialẽ,ꝓpͥã,S22,F2,,,,74r,specialẽ. ,p449_l29_o01_a,ꝓpriã,S22,F2,,,
96,p449_l30_o04,03v,taceo,sileo,S22,F2,,,,74r,Taceo ,p449_l30_o04_a,sileo,S22,F2,,,
97,p449_l30_o09,03v,maneo,habito,S22,F2,,,,74r,Moneo ,p449_l30_o09_a,admoneo ł doceo,S22,F3,,,
98,p449_l30_o10,03v,stupeo,ãmiror,S22,F2,,,,74r,Stupeo ,p449_l30_o10_a,admiror,S22,F2,,,
99,p449_l30_o11,03v,areo ,sicor,S22,F2,,,,74r,Areo ,p449_l30_o11_a,sicco,S22,F2,,,
100,p449_l31_o01,03v,censeo,iudico,S22,F2,,,,74r,Censeo ,p449_l31_o01_a,iudico,S22,F2,p449_l31_o01_b,S24,F5
101,p449_l31_o02,03v,pateo,aperio,S22,F2,,,,74r,Pateo ,p449_l31_o02_a,aperio,S22,F2,,,
102,p449_l31_o04,03v,eodeq ;,&ipso,S22,F2,,,,74r,Eodẽ ,p449_l31_o04_a,sicuti illa uerba in .eo. desinentia,S53,F3,,,
103,p450_l01_o01,03v,profiteor,affirmo,S22,F2,,,,74r,Profiteor ,p450_l01_o01_a,ualde fateor,S23,F3,,,
104,p450_l01_o03,03v,intueor,inspicio/uideo  c̃sidero,S22,F3,,,,74r,Intueor ,p450_l01_o03_a,inspitio cerno,S22,F3,,,
105,p450_l01_o04,03v,notandũ,excipiunt᷑,S22,F2,,,,74r,Notant᷑ ,p450_l01_o04_a,excipiunt᷑,S22,F2,,,
106,p450_l01_o08,03v,beo,bontifico,S22,F2,,,,74v,beo ,p450_l01_o08_a,beatũ fatio,S23,F3,,,
107,p450_l01_o09,03v,creo,facio,S22,F2,,,,74v,Creo ,p450_l01_o09_a,condo,S22,F2,,,
108,p450_l02_o01,03v,meo,pergo,S22,F2,,,,74v,Meo ,p450_l02_o01_a,transeo/ãbulo,S22,F3,,,
109,p450_l02_o03,03v,nauseo,fastidio,S22,F2,,,,74v,Nauseo ,p450_l02_o03_a,fastidio,S22,F2,,,
110,p450_l02_o04,03v,enucleo,aperio,S22,F2,,,,74v,Enucleo ,p450_l02_o04_a,aperio /manifesto,S22,F3,p450_l02_o04_b,S54,F4
111,p450_l02_o05,03v,laqueo,ligo,S22,F2,,,,74v,Laqueo ,p450_l02_o05_a,irretio,S22,F2,p450_l02_o05_b,S23,F5
112,p450_l02_o06,03v,screo,spuo,S22,F2,,,,74v,Screo ,p450_l02_o06_a,spuo,S22,F2,p450_l02_o06_b,S54,F5
113,p450_l02_o11,03v,queo,ualeo possũ,S22,F3,,,,74v,queo ,p450_l02_o11_a,possũ,S22,F2,,,
114,p450_l05_o06,04r,induo ,uestio,S22,F2,,,,74v,Induo ,p450_l05_o06_a,cirũdo,S22,F2,,,
115,p450_l05_o07,04r,arguo,c̃uto eo rep̃hendo,S23,F3,,,,74v,Arguo ,p450_l05_o07_a,Rep̃hendo,S22,F2,p450_l05_o07_b,S23,F3
116,p450_l05_o08,04r,fluo ,dercurro,S22,F2,,,,74v,Fluo ,p450_l05_o08_a,decurro/mano,S22,F3,,,
117,p450_l05_o09,04r,polluo,sordo ł sordeo,S22,F3,,,,74v,Polluo ,p450_l05_o09_a,contamino : coinqͥno,S22,F3,,,
118,p450_l05_o11,04r,alluo,perfu(ndo),S22,F2,,,,74v,Alluo ,p450_l05_o11_a,mundo,S22,F2,,,
119,p450_l06_o01,04r,innuo ,Signũ facio,S23,F3,,,,74v,Innuo ,p450_l06_o01_a,ł nutũ facio/signo,S23,F3,,,
120,p450_l06_o02,04r,minuo ,subtruo,S22,F2,,,,74v,Minuo ,p450_l06_o02_a,subtraho,S22,F2,,,
121,p450_l06_o03,04r,spuo ,sereo,S22,F2,,,,74v,spuo ,p450_l06_o03_a,reicio,S22,F2,,,
122,p450_l06_o04,04r,ruo,cado,S22,F2,,,,74v,Ruo ,p450_l06_o04_a,cado,S22,F2,,,
