,folio,lemma_id,lemma,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087
17,71v,p450_l09_o02,c̃tinuo ,p450_l09_o02_a,ꝓtelo +? CONIUNC ͭ ͧ ͫ ? QUAE COEP ͥ ͭ ͧ ͬ FAC ͭ ͧ ͫ ?,S23,F4,normal,,,,A continuus/Continuo assiduo . coniungo sotio. ,S22,F3
18,71v,p450_l09_o03,fluctuo ,p450_l09_o03_a,titubo,S22,F2,normal,,,,A fluctus fluctuo,S54,F3
19,71v,p450_l09_o04,ęstuo ,p450_l09_o04_a,ferueo,S22,F2,normal,,,,Ab estus. eftuo;,S54,F3
20,72r,p450_l16_o07,decurio ,,,,,,p450_l16_o07_b,S23,F5,Decurio. excogito ł concilior ,S22,F3
21,72r,p450_l18_o08,c̃silio ,p450_l18_o08_a,c̃siliũ do,S23,F4,normal,,,,Concilior . Consotio coniugo,S22,F3
22,72r,p450_l20_o04,delinio ,p450_l20_o04_a,blandior,S22,F2,normal,,,,Delinior blandior,S22,F2
23,72r,p450_l26_o01,pio ,p450_l26_o01_a,mundo,S22,F2,normal,,,,Pio purgo placo,S22,F3
24,72r,p451_l09_o02,farcio ,p451_l09_o02_a,repleo,S22,F2,normal,,,,farcio. impleo;,S22,F4
25,72r,p451_l09_o03,expedio ,p451_l09_o03_a,absoluo,S22,F2,normal,,,,Expedio a periodico.ł ꝓsũ,S23,F3
26,72r,p451_l10_o02,pręsagio ,p451_l10_o02_a,futura p̃dico,S23,F4,normal,,,,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4
27,72r,p451_l10_o05,stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,normal,,,,loco. stabilo colloco. statuo ł mercedẽ contduco. ,S23,F4
28,72r,p451_l11_o04,insignio ,p451_l11_o04_a,nobilito,S22,F2,normal,,,,insignior. orno. nobilito,S22,F3
29,72r,p451_l12_o02,sopio ,p451_l12_o02_a,dormio,S22,F2,normal,,,,Sopio Dormio,S22,F2
30,72r,p451_l12_o03,ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,normal,,,,Exsicco ł ferio,S22,F2
31,72r,p451_l12_o06,garrio ,p451_l12_o06_a,garrire auiũ ÷ PROPRI ͤ,S23,F3,normal,,,,Garrio/ Murmuro perstrepo,S22,F3
32,72r,p451_l12_o07,ligurrio ,p451_l12_o07_a,lingo,S22,F2,normal,,,,Ligurrio deglutio,S22,F2
33,72r,p451_l13_o01,prurio ,p451_l13_o01_a,scabeo,S22,F2,normal,,,,Prurio /scalpo ł uror,S22,F3
34,72r,p451_l14_o02,blandior ,p451_l14_o02_a,adulor,S22,F2,normal,,,,Lacto decipio. blandior .,S22,F3
35,72r,p451_l23_o05,potior ,p451_l23_o05_a,fruor,S22,F2,normal,,,,Potior fruor,S22,F2
36,72v,p452_l17_o04,mancipo ,p452_l17_o04_a,subdo,S22,F2,normal,,,,Mancipo. manu capta trado  ł in seruitutẽ redigo  ł manifesto,S23,F4
37,72v,p452_l18_o07,pręsideo ,p452_l18_o07_a,p̃sum,S22,F2,normal,,,,P̃sideo ꝓtego subleuo opitulor. suffragor ł ꝓpugno,S22,F3
38,72v,p452_l21_o01,Obsequor ,p452_l21_o01_a,obtẽpero,S22,F2,normal,,,,Obsequor famulor,S22,F2
39,72v,p452_l22_o04,iusticiũ ,p452_l22_o04_a,locꝰ UBI IUSTI ͭ ͥ ͣ FIT,S23,F4,shorthand,,,,Iustitum publicus luctus ł puiblici iuris silentũ,S23,F3
40,72v,p452_l23_o03,Perpendo ,p452_l23_o03_a,m̃suro ł penso,S22,F3,normal,,,,ꝑpendo. m&ior ł estimo. ł libro ł diligent̃ uideo;,S23,F4
41,72v,p452_l24_o07,ferculũ ,p452_l24_o07_a,discus,S22,F2,normal,,,,ferculũ discus,S22,F2
42,73r,p453_l10_o11,Marceo ,p453_l10_o11_a,areo,S22,F2,normal,,,,Marceo. langueo. ł areo,S22,F3
43,73r,p453_l14_o03,Liquor ,p453_l14_o03_a,fluo,S22,F2,normal,p453_l14_o03_b,S23,F4,Liquor defluo. labor,S22,F3
44,73r,p453_l26_o11,Luo ,p453_l26_o11_a,sustineo/ł soluo,S22,F3,normal,p453_l26_o11_b,S63,F3,Luo penã soluo,S23,F4
45,73r,p453_l27_o01,Lues ,p453_l27_o01_a,pestis,S22,F2,normal,,,,lues pestilentia ł clades / lues pestis,S22,F3
46,73r,p453_l27_o03,strues ,p453_l27_o03_a,c̃genies t̃rę aug? cumulus,S23,F3,normal,,,,c̃geries cuiꝰ lib& regi,S23,F3
47,73r,p453_l29_o02,nubilis ,p453_l29_o02_a,puella apta (ad nubendum?),S23,F3,shorthand,p453_l29_o02_b,S63,F2,Nubilis ad nubendũ habilis,S23,F3
48,73r,p453_l29_o08,effutilis ,p453_l29_o08_a,uanus instab̶is,S22,F3,normal,p453_l29_o08_b,S63,F3,Effutilis inutilis ł in stablis uanꝰ ł loquax; ,S22,F3
49,73r,p453_l30_o01,occiduus ,p453_l30_o01_a,transitiuus,S22,F2,normal,,,,occidualis/occidentalis,S22,F3
