,lemma_id,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087,folio,lemma,gloss_id,gloss_Lat7499,gloss_type_Lat7499,gloss_form_Lat7499,marginal_note_id,marginal_note_type,marginal_note_form
156,p465_l28_o07,Amicior . Vestio circũdo induo togo,S22,F3,84r,amitior ,p465_l28_o07_a,circũdo induco Ab amicus ł amictus,S54,F3,,,
157,p465_l28_o08,Blandior. placeo,S22,F2,84r,Blandior ,p465_l28_o08_a,adulor lenio,S22,F3,,,
158,p465_l29_o01,Largior gatiã ͣp̃to,S23,F4,84r,Largior ,p465_l29_o01_a,tribuo imꝑtior,S22,F3,,,
159,p465_l29_o03,Opperior expecto. cupio. spero,S22,F3,84r,Operior ,p465_l29_o03_a,prestolor/ł expecto,S22,F3,,,
160,p465_l29_o07,Assentior. Adulor palpor ,S22,F3,84r,Assentio ,p465_l29_o07_a,c̃sentio,S22,F2,,,
161,p466_l05_o04,Vador. ꝓmitto. causã ago. fidẽ fatio,S23,F4,84v,uador ,p466_l05_o04_a,a uado,S54,F3,,,
162,p466_l21_o08,Nasiciscor Adipiscor Assequor Potior fruor,S22,F3,84v,nanciscor ,p466_l21_o08_a,assequor,S22,F2,,,
163,p466_l21_o09,Pasciscor pacẽ redintegror,S23,F4,84v,pacisor ,p466_l21_o09_a,pacẽ fatio,S23,F4,,,
164,p466_l22_o02,Adipiscor conor / Nasiciscor Adipiscor Assequor,S22,F3,84v,Adipiscor; ,p466_l22_o02_a,consequor inuenio,S22,F3,,,
165,p467_l07_o05,Neo filator queo,S22,F3,84v,neo ,p467_l07_o05_a,filo,S22,F2,,,
166,p468_l34_o08,edico cis p̃dico p̃nuntio ł p̃cipio,S22,F3,85v,Edico ,p468_l34_o08_a,ualde dico,S23,F4,,,
167,p468_l34_o10,P̃dico. cis. futura. antedico . P̃dico cas; deuulgo. p̃mono. narro. palã refero.,S23,F4,85v,Predico ,p468_l34_o10_a,antedico,S22,F2,,,
