,lemma_id,folio,lemma,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id,marginal_note_type,marginal_note_form,gloss_Lat14087,gloss_type_Lat14087,gloss_form_Lat14087
91,p457_l32_o04,11r,obliquo,,,,,,,Obliquo . trasuerto . ł curuo delato . deposito inferor umposto ł latiorẽ facio.,S23,F4
92,p457_l34_o05,11r,apto,c̃iungo assotio,S22,F3,,,,Apto. c̃iungo ł sotio,S22,F2
93,p457_l34_o08,11r,sollicito,curã ago,S23,F4,,,,Sollicito. inquięto. molesto. ,S22,F3
94,p457_l35_o09,11r,uiduus,quasi diuisus/a muliere,S23,F3,,,,uiduus. alienus. sterilis. Diuisus separatus,S22,F3
95,p458_l02_o10,11r,stimulo,pungo,S22,F2,,,,Stimulo urgeo  fimo. Sordeo,S22,F3
96,p458_l03_o06,11r,terminus,finis meta,S22,F3,,,,M&a finis ,S22,F2
97,p458_l03_o07,11r,termino,finẽ fatio,S54,F4,,,,M&ior constituo castra designo,S23,F4
98,p458_l03_o10,11r,perenno,toto anno inopere persisto,S23,F4,,,,ꝑenno. ꝑannos ago,S25,F3
99,p458_l05_o07,11r,stomachor,irascor /ł  insanio,S22,F3,,,,Stomachor . lacero . lrascor.,S22,F3
100,p458_l06_o06,11r,libũ,sacrificͥũ,S22,F2,,,,Libũ .genus dulciam̃ti ł libam̃tũ ,S222,F3
101,p458_l07_o06,11v,peculiũ,pro onum substantia ponitur,S23,F4,,,,peculiũ pecunia,S22,F2
102,p458_l07_o07,11v,peculior,peculiã aufero,S23,F4,,,,Depeculior depopulor conpilo. Exhaurio  e uesto,S22,F3
103,p458_l11_o11,11v,peragro,incedo,S22,F2,,,, ꝑagror circũeo ꝑãbo ꝑtranseo.giro. uagor,S22,F3
104,p458_l12_o02,11v,integro,perfitio,S22,F2,,,,integror. Reparo.,S22,F2
105,p458_l17_o07,11v,contionor,multitudini alloquor,S23,F3,,,,Contionor . alloquor,S22,F2
106,p458_l21_o06,11v,ubero, abundo,S22,F2,,,,Exuberor abundo,S22,F2
107,p458_l21_o09,11v,agero, c̃grego,S22,F2,,,,Aggeror. comulo. congrego,S22,F3
108,p458_l25_o06,11v,nugas,uanꝰ / ł inutilis /recedens a lege,S23,F3,,,,Nugas turpes. uanos. inutiles. uanos maculosos.,S22,F3
109,p458_l25_o08,11v,nugor,efecero desitio de(cur)so,S22,F3,,,,Nugor t᷑pit̃ ago,S23,F3
110,p458_l26_o01,11v,uas ,fideiussor,S22,F2,,,,uas. uadis pignus ł uadimoniũ,S22,F3
111,p458_l26_o03,11v,uador,uadiũ do,S54,F4,,,,uador. ꝓmitoo. causã ago. Fidẽ fatio,S23,F4
112,p458_l26_o07,11v,aries,aliquantã machinã,S222,F3,,,,Aries machina,S222,F2
113,p458_l26_o08,11v,arieto,more arietis ago,S23,F4,,,,Arieto impingo,S22,F2
114,p458_l27_o02,11v,comitor,simul /tecũ ꝑergo,S23,F3,,,,Comito. comeseo. ꝓsequor,S22,F3
115,p458_l27_o05,11v,sedo,pacifico,S22,F2,,,,Sedo. Mollio placo. Mitigo // Sedo. pacifico. mitigo. ,S22,F3
116,p458_l29_o09,12r,testor,confirmo,S22,F2,,,, Detestor abominor,S22,F2
117,p459_l03_o05,12r,lego ,dispono astruo c̃firmo,S22,F3,,,, lego legas. tes,S24,F3
