lemma_id,gloss_type_VLO41,gloss_type_Bamberg,gloss_type,gloss_form_VLO41,gloss_form_Bamberg,gloss_form,lemma_VLO41,gloss_VLO41,lemma_Bamberg,gloss_Bamberg,lemma,gloss
p453_l33_o08,S22,S22,S22,F2,F2,F2,adoptulus,quasi adoptiuus,adoptulus ,adoptiuus,adoptuł. ,adoptans /ualde desiderat᷑ Idem est & adoptiuus
p454_l03_o01,S22,S22,S22,F3,F3,F3,perspicax,diluciđ manifestꝰ,ꝑspicax ,ingeniosus astutꝰ,ꝑspicax ,ingeniosus astutus/clarus uigilans
p454_l03_o03,S22,S22,S22,F3,F3,F3,efficax,acius uelox,efficax ,efficiens ł potens,efficax ,effitiens/ł potens
p454_l12_o03,S22,S22,S22,F2,F2,F2,furibundus,insanꝰ,furibundus ,(similis) furenti,Furibundus. ,simił furenti
p454_l20_o08,S22,S22,S22,F2,F2,F2,suadeo,ortor,suadeo ,adoror,Suadeo ,adortor
p454_l20_o09,S22,S22,S22,F2,F2,F2,suadela,oratio,suadela ,suasie,Suadela ,adoracio
p454_l21_o08,S22,S22,S22,F2,F2,F2,ruo,cado,Ruo ,cado,Ruo ,cado
p454_l21_o10,S22,S22,S22,F2,F2,F2,rapio,tollo,Rapio ,aufero,Rapio ,aufero
p454_l30_o02,S54,S54,S54,F3,F3,F3,arcus,ab arcendo,arcus. ,++,archus ,ab arcendis
p455_l12_o05,S22,S22,S22,F3,F3,F3,deses,stultꝰ inconstans desidios,deses ,pigris ł stultꝰ negligens,deses ,piger stultus/ł neglegens
p455_l19_o06,S22,S22,S22,F3,F3,F3,munimentũ,ꝓtectio ł tutela / scutũ,Munim̃tũ ,tutam̃ ÷ defensio,Munimentũ ,tutamen ÷ defensio
p455_l28_o06,S22,S22,S22,F2,F2,F2,equatio,p̃portio,Aequatio ,assimilatio,Aequatio ,assimilatio
p455_l28_o07,S22,S22,S22,F2,F2,F2,obseruatio,custodia,Obseruatio ,custodia,Obseruatio ,custodia
p456_l01_o07,S23,S23,S23,F3,F3,F3,tonstrina,ipsa res ł domus,Tonstrina ,opꝰ tonsoris,Tonstrina ,opꝰ tonsoris
p456_l07_o04,S22,S22,S22,F2,F2,F2,aduectitius,deportatitius,Aduectitius ,apportatiuus,Aduectitius ,apportatitius
p457_l04_o06,S22,S22,S22,F2,F2,F2,mere,iđ pure,merę ,purae,merę ,purę
p457_l08_o02,S22,S22,S22,F2,F2,F2,superuacua,suꝑflua,suꝑuacua ,suꝑflua,suꝑuacua ,suꝑflua
p457_l10_o03,S22,S22,S22,F2,F2,F2,clementia,misericordia,clem̃tia ,misericordia,clementia ,Benignitas
p457_l16_o10,S22,S22,S22,F2,F2,F2,fugo,repẽllo ac,fugo ,+,Fugo ,expello
p457_l17_o02,S22,S22,S22,F2,F2,F2,stillo,defluo,Stilla ,gutta,Stilla ,gutta
p457_l19_o03,S22,S22,S22,F2,F2,F2,nundinor,mercator,nundinor ,merchor,Nundinor ,mercor
p457_l22_o03,S22,S22,S22,F2,F2,F2,rixo,obiurgo,rixo ,contendo,Rixo ,contendo
p457_l26_o07,S22,S22,S22,F3,F3,F3,prob;,idoneus strenuus sagax,probus ,bonus +,ꝓbus ,bonus ęquus/ꝑfectus
p457_l27_o10,S22,S22,S22,F2,F2,F2,fedus,turpis ,Foedus ,turpis,Fedus ,turpis
p457_l28_o04,S22,S22,S22,F2,F2,F2,uagus,instans,Vagus ,+,Vagus ,instabilis
p457_l28_o09,S22,S22,S22,F2,F2,F2,pio,purgo,pio ,mundo,Pio ,purgo
p457_l33_o02,S22,S22,S22,F2,F2,F2,ignarus,inscius,ignarꝰ ,inscius,Ignarus ,inscius
p457_l33_o11,S22,S22,S22,F2,F2,F2,dilato,ãplifico,delato ,ãplifico,dilato ,ãplifico
p458_l02_o02,S23,S23,S23,F4,F4,F4,grecor,more grecorũ ago,gręcor ,grece loquor,Grecor ,more greco loquor
p458_l08_o12,S23,S23,S23,F4,F4,F4,stagnũ,aqua q; ñ decurritur,Stagnũ ,genꝰ m&alli & dr̃ lacꝰ +++,Stagnũ ,Genus metalli ł lacus qͥ ñ currit a stando dictꝰ
p458_l14_o01,S22,S22,S22,F2,F2,F2,saturo,satio,Saturo ,satio,Saturo ,satio
p458_l18_o01,S22,S22,S22,F2,F2,F2,ordino,dispono,Ordino ,+,Ordino ,orno
p458_l21_o05,S22,S22,S22,F2,F2,F2,uber,habundans,Vber ,copiosus,Vber ,copiosꝰ
p458_l21_o06,S22,S22,S22,F2,F2,F2,ubero, abundo,exubero ,abundo,Exubero ,habundo
p459_l05_o09,S22,S22,S22,F2,F2,F2,p̃ceps,impello ,Pręceps ,p̃cipiciũ,Pręceps ,ꝓnꝰ
p459_l19_o09,S23,S23,S23,F3,F3,F3,scriba,doctor ñ officiale,scriba ,lege peritꝰ,Scriba ,lege peritꝰ
p459_l31_o07,S22,S22,S22,F2,F2,F2,formido,timor,Formido ,paueo,Formido ,paueo
p460_l14_o09,S22,S22,S22,F2,F2,F2,superuacuo,exsuperfluo,suꝑuacuo ,suꝑfluo,suꝑuacuo ,suꝑfluo
p461_l18_o06,S22,S22,S22,F2,F2,F2,ingurgitasses,p̃cipitasses,ingurgitasses ,immersisses,ingurgitasses ,immersisses
p462_l10_o05,S22,S22,S22,F2,F2,F2,opitulor,auxilior,opitulor ,adiuuo,opitulor ,Adiuuo
p462_l11_o09,S22,S22,S22,F2,F2,F2,litigo,contendo,Mitigo ,placo,Litigo. ,c̃tendo
p462_l16_o01,S22,S22,S22,F2,F2,F2,temere,p̃sũtiose,temere ,p̃sumptiose,temere ,p̃sũptiose
p462_l17_o03,S22,S22,S22,F2,F2,F2,diutius,longius,diutius ,longius,diutius ,longius
p462_l26_o04,S22,S22,S22,F2,F2,F2,calles,semita,Calles ,uia,calles ,uia
p462_l29_o11,S22,S22,S22,F2,F2,F2,fluctuo,titubo,Fluctuo ,titubo,Fluctuo ,titubo
p463_l09_o08,S22,S22,S22,F2,F2,F2,largior,tribuo,largior ,tribuo,largio ,tribuo
p463_l15_o03,S22,S22,S22,F2,F2,F2,insignis,nobilis,insignis ,nobilis,in̶asignis ,nobilis
p463_l25_o09,S22,S22,S22,F2,F2,F2,metior,mensuro,M&ior ,m̃suro,metior ,÷ mensuro
p466_l06_o03,S22,S22,S22,F2,F2,F2,rimor,ꝑscrutor,Rimor ,inuestigo,Rimor ,inqͥro
p466_l21_o09,S23,S23,S23,F4,F4,F4,paciscor,pactũ facio,Paciscor ,pacẽ facio,pacisor ,pacẽ fatio
p470_l09_o07,S22,S22,S22,F2,F2,F2,glisco,cresco,Glisco ,cresco,Glisco ,cresco
