,lemma_id,gloss_type_VLO41,gloss_type_Bamberg,gloss_form_VLO41,gloss_form_Bamberg,lemma_VLO41,gloss_VLO41,lemma_Bamberg,gloss_Bamberg
90,p452_l19_o03,S22,S22,F2,F2,remedium,medela,Remediũ ,Su ̶ ?  ͭ ͥ ͣ(sanitas?)
91,p452_l20_o01,S22,S22,F2,F2,fastidio,nauseo,Fastidio ,nauseo
92,p452_l21_o06,S23,S23,F3,F3,domicilium,parua casida,domiciliũ ,domus auiũ
93,p452_l23_o03,S22,S22,F3,F3,perpendo ,Libro / coequo ,Perpendo ,m̃suro ł penso
94,p452_l23_o05,S22,S22,F2,F2,euerso,destruo,Euerso ,destruo
95,p452_l23_o06,S22,S22,F2,F2,euersiculum,euersio,Euersiculũ ,++? ͤ ᷠ ͭ ͥ ͣ(destructio?)
96,p452_l27_o01,S22,S22,F2,F2,tego,cooperio ,Tego ,operio
97,p452_l27_o02,S22,S22,F2,F2,tegimen,cooperimentũ,Tegim̃ ,operim̃tũ
98,p452_l31_o10,S22,S22,F2,F2,presertim,ĩ maxime ł ominino,pręsertim ,(maxime?)
99,p453_l02_o06,S53,S53,F3,F3,positionis ,s̃ pͥme persone,positionis ,pͥmę ꝑsonę
100,p453_l05_o08,S22,S22,F2,F2,censor,iudex,censor ,iudex
101,p453_l04_o11,S22,S22,F2,F2,defensor,ꝓtector,defensor ,tutor
102,p453_l11_o02,S22,S22,F2,F2,candeo,splendor,candeo ,albesco
103,p453_l11_o05,S22,S22,F2,F2,algor,frigus,algor ,frigꝰ
104,p453_l12_o03,S22,S22,F2,F2,horreo.,timeo,horreo ,abhominor
105,p453_l14_o09,S22,S22,F2,F2,sopio,dormio,sopio ,dormio
106,p453_l14_o03,S22,S22,F2,F2,liquor,defluo,Liquor ,fluo
107,p453_l17_o06,S22,S22,F2,F2,sordeo,squaleo,Sordeo  ,cõmaculo
108,p453_l17_o07,S22,S22,F2,F2,sordidus , tͫpisseđ ,sordidus ,ma(culatus)?
109,p453_l19_o03,S22,S22,F2,F2,torreo ,arefio uro,Torreo ,uro
110,p453_l27_o02,S22,S22,F2,F2,struo,congero,struo ,ędifico
111,p453_l28_o05,S23,S23,F3,F3,torquis,circulus aureus /a torquendo,torquis ,ornam̃tũ colli
112,p453_l29_o07,S22,S22,F2,F2,efutio ,inanesco,Effutio ,effundo
113,p453_l29_o08,S22,S22,F3,F3,efutilis,uacuus instabilis,effutilis ,uanus instab̶is
114,p453_l30_o01,S22,S22,F2,F2,occiduus,occidentalis,occiduus ,transitiuus
115,p453_l32_o01,S22,S22,F2,F2,strido,sono,Strido ,sono
116,p453_l32_o04,S22,S22,F2,F2,gerulus,portator,gerulus ,portitor
117,p453_l33_o08,S22,S22,F2,F2,adoptulus,quasi adoptiuus,adoptulus ,adoptiuus
118,p454_l03_o01,S22,S22,F3,F3,perspicax,diluciđ manifestꝰ,ꝑspicax ,ingeniosus astutꝰ
119,p454_l03_o03,S22,S22,F3,F3,efficax,acius uelox,efficax ,efficiens ł potens
120,p454_l12_o03,S22,S22,F2,F2,furibundus,insanꝰ,furibundus ,(similis) furenti
121,p454_l18_o03,S22,S22,F2,F2,aduenio,peregrinꝰ,aduena ,peregrinꝰ
122,p454_l19_o07,S54,S54,F3,F3,terrigena,ex t̃ra genitus,terrigena ,a t̃ra genitus s. gigas
123,p454_l20_o08,S22,S22,F2,F2,suadeo,ortor,suadeo ,adoror
124,p454_l20_o09,S22,S22,F2,F2,suadela,oratio,suadela ,suasie
125,p454_l21_o08,S22,S22,F2,F2,ruo,cado,Ruo ,cado
126,p454_l21_o09,S22,S22,F2,F2,ruina,euersio,ruina ,casus
127,p454_l21_o10,S22,S22,F2,F2,rapio,tollo,Rapio ,aufero
128,p454_l23_o03,S22,S22,F2,F2,epulo,comedo ,epulo ,uorax
129,p454_l23_o06,S22,S22,F2,F2,lenio,deceptor,lenio ,blandior
130,p454_l25_o07,S22,S22,F2,F2,turpedo,foditas,terpedo ,pigritia
131,p454_l25_o08,S22,S22,F2,F2,cupio,desidero ,cupio ,gestio
132,p454_l25_o11,S22,S22,F2,F2,libido ,uoluptas,libido ,luxuria
133,p454_l26_o03,S22,S22,F2,F2,caligo,qͣsi cecitas,caligo ,obscuro
134,p454_l27_o09,S22,S22,F2,F2,opinor,estimo,opinor ,reor
135,p454_l27_o10,S22,S22,F2,F2,opinio,autumatio,opinio ,fama ++
136,p454_l28_o10,S22,S22,F2,F2,parto,indulgeo,parco ,indulgeo
137,p454_l29_o04,S22,S22,F2,F2,ludo,iocor,Ludo ,ioco
138,p454_l30_o01,S22,S22,F2,F2,arceo,uello,Arceo ,cohibeo
139,p454_l30_o02,S54,S54,F3,F3,arcus,ab arcendo,arcus. ,++
140,p454_l30_o10,S22,S22,F2,F2,inscius,noscius,inscius ,insciens
141,p454_l31_o01,S22,S22,F2,F2,p̃scius,antescius,prescius. ,p̃sciens
142,p454_l31_o07,S23,S23,F4,F4,inuideo,ꝗ fert inuidiã,inuidus ,inuidꝰ ÷ ꝗ inuid& : Inuidiosꝰ ꝗ (alterius inuidia paritur)
143,p454_l32_o03,S23,S23,F3,F3,luctificus,luctũ faciens,luctificus ,luctũ faciens
144,p455_l03_o07,S23,S23,F3,F3,fulcrũ,ornamentũ lecti,fulcrũ ,ornam̃tũ lecti
145,p455_l11_o09,S22,S22,F2,F2,obex,oppositio,Obex ,repagulũ
146,p455_l12_o05,S22,S22,F3,F3,deses,stultꝰ inconstans desidios,deses ,pigris ł stultꝰ negligens
147,p455_l19_o06,S22,S22,F3,F3,munimentũ,ꝓtectio ł tutela / scutũ,Munim̃tũ ,tutam̃ ÷ defensio
148,p455_l21_o02,S22,S22,F2,F2,certamen,pugnam̃ ,certam̃ ,pugna
149,p455_l21_o04,S22,S22,F2,F2,fragmen,mole,fragmen ,fractio
150,p455_l28_o06,S22,S22,F2,F2,equatio,p̃portio,Aequatio ,assimilatio
151,p455_l29_o01,S22,S22,F2,F2,exhibitio,adtributio,Exhibitio ,prebitio
152,p455_l28_o07,S22,S22,F2,F2,obseruatio,custodia,Obseruatio ,custodia
153,p455_l28_o03,S22,S22,F2,F2,obiurgatio,increpatio,Obrigatio ,adaquatio
154,p455_l30_o02,S22,S22,F2,F2,fultor,sustentator,Fultor ,sustentator
155,p456_l01_o07,S23,S23,F3,F3,tonstrina,ipsa res ł domus,Tonstrina ,opꝰ tonsoris
156,p456_l02_o04,S22,S22,F2,F2,subtilitiuus,subiectiuus,Subditiuus ,subiectiuus
157,p456_l05_o02,S23,S23,F4,F4,iussor,ꝗ imperit,Iussor ,ꝗ iubet
158,p456_l07_o04,S22,S22,F2,F2,aduectitius,deportatitius,Aduectitius ,apportatiuus
159,p456_l10_o09,S22,S22,F2,F2,rupes,saxe,rupes ,petrę
160,p456_l10_o10,S22,S22,F2,F2,ambigo,dubito,ambigo ,dubio
161,p456_l17_o04,S22,S22,F2,F2,uocabulis,nominib;,uocabulis ,+(nominis?)
162,p456_l18_o05,S22,S22,F2,F2,litura,linitio,Litura ,deletio ł planatio
163,p456_l20_o07,S22,S22,F2,F2,adminiculo,ausilio,adminiculo ,s̃ adium̃to
164,p456_l32_o02,S22,S22,F2,F2,contentus,suffitiens,c̃tentus ,+
165,p457_l04_o06,S22,S22,F2,F2,mere,iđ pure,merę ,purae
166,p457_l08_o02,S22,S22,F2,F2,superuacua,suꝑflua,suꝑuacua ,suꝑflua
167,p457_l10_o03,S22,S22,F2,F2,clementia,misericordia,clem̃tia ,misericordia
168,p457_l11_o06,S22,S22,F2,F2,seueritas,crudelitas,Seueritas ,asperitas rigor
169,p457_l16_o10,S22,S22,F2,F2,fugo,repẽllo ac,fugo ,+
170,p457_l17_o02,S22,S22,F2,F2,stillo,defluo,Stilla ,gutta
171,p457_l18_o03,S22,S22,F2,F2,trutino,equo,trutino ,pondero
172,p457_l19_o03,S22,S22,F2,F2,nundinor,mercator,nundinor ,merchor
173,p457_l22_o03,S22,S22,F2,F2,rixo,obiurgo,rixo ,contendo
174,p457_l26_o07,S22,S22,F3,F3,prob;,idoneus strenuus sagax,probus ,bonus +
175,p457_l27_o04,S23,S23,F3,F3,amico,amititias cõpono,amico ,++
176,p457_l27_o10,S22,S22,F2,F2,fedus,turpis ,Foedus ,turpis
177,p457_l28_o04,S22,S22,F2,F2,uagus,instans,Vagus ,+
178,p457_l28_o09,S22,S22,F2,F2,pio,purgo,pio ,mundo
179,p457_l33_o02,S22,S22,F2,F2,ignarus,inscius,ignarꝰ ,inscius
180,p457_l33_o11,S22,S22,F2,F2,dilato,ãplifico,delato ,ãplifico
181,p457_l35_o06,S22,S22,F2,F2,laxo,relinquo,Laxo ,dimitto
182,p458_l02_o10,S22,S22,F2,F2,stimulo,pungo,Stimulo ,incito
183,p458_l02_o02,S23,S23,F4,F4,grecor,more grecorũ ago,gręcor ,grece loquor
184,p458_l02_o05,S23,S23,F3,F3,uulgus,multitudo ho/minum,Vulgus ,populus insipiens
185,p458_l06_o11,S22,S22,F2,F2,uelo,cooperio,uelo ,operio
186,p458_l08_o12,S23,S23,F4,F4,stagnũ,aqua q; ñ decurritur,Stagnũ ,genꝰ m&alli & dr̃ lacꝰ +++
187,p458_l11_o06,S22,S22,F2,F2,sacer,sc̃r,Sacer ,sc̃s
