lemma_id,gloss,gloss_type,gloss_form
p459_l13_o03,Nisus conam̃ cestam̃,S22,F3
p459_l13_o05,Notꝰ a nosco,S54,F3
p459_l14_o03,Acies. ab acuo,S54,F3
p459_l14_o04,facies a fatio,S54,F3
p459_l14_o05,fides a  fido,S54,F3
p459_l14_o06,Res a reor,S54,F3
p459_l32_o11,indagor. Inuestigo. inquiro,S22,F3
p461_l01_o07,Mancipo. manu capio in seruitutẽ redigo,S23,F4
p461_l10_o04,Humo humi trado ł sepelio.,S22,F3
p461_l17_o06,Ingurgito. p̃cipitẽdo,S22,F2
p461_l19_o07,ꝑendie.  ꝓ̃cras. uel p̃tertium diem ł antediem.,S23,F3
p461_l20_o02,cõꝑendino. in t̃tiũ diẽ ꝓtraho ł differo,S23,F4
p462_l06_o07,Vello moueo,S22,F2
p462_l06_o09,Vellico cauillor,S22,F2
p462_l07_o05,Nt̃co iurgo,S22,F2
p462_l08_o05,cõmunico  comibino ł participo pullulo,S22,F3
p462_l10_o02,sarcinor oneror,S22,F2
p462_l10_o11,cõmissor coniungo. ł fide iussor,S23,F3
p462_l26_o06,calleo cogitaui astute didici cõperi,S23,F4
p462_l28_o10,luo penã soluo,S23,F4
p463_l08_o06,Bulla inflatio auqarũ ł ornam̃ in similitudine inflatioñ spumę aquarũ,S23,F4
p463_l09_o08,Largior g{r}atiã p̃sto,S23,F4
p463_l12_o03,Balbus. ab alando dictus potius quã ad  loquendo,S54,F4
p463_l14_o02,Moles magnitudo aceruus cumulus,S22,F3
p463_l15_o06,Sepior circũdo uallo,S22,F3
p463_l18_o10,calx posterior pars pedis,S23,F3
p463_l19_o04,Calcius soccus unde caltinaria,S24,F3
p463_l25_o02,M&a finis,S22,F2
p463_l25_o03,termino finio,S22,F2
p463_l25_o09,M&ior constituo castra designo,S23,F4
p464_l19_o07,"Asꝑnor contẽpno despicio deflo, despuo",S22,F3
p465_l20_o06,Conspicior. oculos subito intendo. intueor contẽplor,S23,F4
p465_l22_o08, Gratificor gratis fatio,S25,F3
p465_l23_o02,ludifico. eludo ,S22,F2
p465_l24_o04,Morigeror morib; cõpno,S23,F4
p465_l25_o11,ꝓmitto polliceor. ,S22,F2
p465_l28_o07,Amicior . Vestio circũdo induo togo,S22,F3
p465_l28_o08,Blandior. placeo,S22,F2
p465_l29_o01,Largior gatiã ͣp̃to,S23,F4
p465_l29_o03,Opperior expecto. cupio. spero,S22,F3
p465_l29_o07,Assentior. Adulor palpor ,S22,F3
p466_l05_o04,Vador. ꝓmitto. causã ago. fidẽ fatio,S23,F4
p466_l06_o09,Aduersor Refragor obnitor. Reducto,S22,F3
p466_l21_o08,Nasiciscor Adipiscor Assequor Potior fruor,S22,F3
p466_l21_o09,Pasciscor pacẽ redintegror,S23,F4
p466_l22_o02,Adipiscor conor / Nasiciscor Adipiscor Assequor,S22,F3
p467_l07_o05,Neo filator queo,S22,F3
p467_l08_o12,Meo Defluo Decurro mano,S22,F3
p467_l28_o01,scaber& fricar&,S22,F2
p468_l07_o05,Lãbo tractĩ depascor uł degusto,S23,F4
p468_l09_o05,Incubo immineo. insto,S22,F3
p468_l09_o07,ꝓcũbo cado declino,S22,F3
p468_l10_o01,Accũbo. Corpore tortor eqͥessco,S23,F4
p468_l10_o03,Succubo superor lassor,S22,F3
p468_l12_o04,Cubo reqͥesco ,S22,F2
p468_l12_o08,ꝓcubo Deicior,S22,F2
