Lt,Le,Tl,Gm,Gi,Gnorm,folio,line,Lorder,Mg,Temp,Loc,Forme,Sens,grammatical terminology (Schad),Notes divers,Concordance avec Latin 14087
positionis ,,,,s̃ ũbi,scilicet uerbo,8r,21,a,A,T1,P0,F2,S22,,,
parco,,,,indulgeo,,8r,21,b,A,T1,P0,F2,S22,,,
parcus,,,,abstinens frui,,8r,21,c,A,T1,P0,F3,S23,,,
ludo,,,,iocor,,8r,22,a,A,T1,P0,F2,S22,,,
ludus,,,,iocus,,8r,22,b,A,T1,P0,F2,S22,,,
fidus,,,,in quo fiducia habet᷑/amicus,,8r,22,c,A,T1,P0,F4,S23,,,
pando,,,,aperio,,8r,22,d,A,T1,P0,F2,S22,,,
pandus,,,,aprtus,,8r,22,e,A,T1,P0,F2,S22,,,
lucꝰ,,,,nemora silue,,8r,22,f,A,T1,P0,F2,S22,,,
arceo,,,,uello,,8r,23,a,Β,T2,P0,F2,S22,,,
arcus,,,,ab arcendo,,8r,23,b,A,T1,P0,F3,S54,,,
metuo,,,, aciđt,acciderit,8r,23,c,A,T1,P0,F2,S42,,"*
Isidorus Hispalensis - De differentiis rerum siue Differentiae theologicae uel spiritales (Liber differentiarum II) (CPL 1202) - LLT
cap.: 41, pag.: 105, linea: 18//Ex his autem duo sunt futuri temporis, ante quid eueniat, metus et cupiditas; alia duo praeteriti, cum quid acciderit, gaudium et dolor.",
multiscius,,,,multa sciens,,8r,24,a,Β,T2,P0,F3,S54,,,
inscius,,,, noscius,,8r,24,b,A,T1,P0,F2,S22,,,
p̃scius,,,,antescius,,8r,24,c,A,T1,P0,F2,S22,,,
efluus,,,,retro currens,,8r,24,d,A,T1,P0,F3,S23,,,
inuideo,,,,ꝗ fert inuidiã,qui fert inuidiam,8r,25,a,Β,T2,P0,F2,S54,,,
ꝓfugus,profugus,,,porro fugatus.,,8r,25,b,A,T1,P0,F2,S54,,,
luctisicus,,,,luctũ faciens,luctum faciens,8v,1,,A,T1,P0,F3,S23,,,
terrificus,,,,t̃rore m̃ fatiens,terrore men fatiens,8v,2,a,A,T1,P0,F3,S23,,,
beneficus,,,,fatiens bene,,8v,2,b,A,T1,P0,F3,S23,,,
ueneficus,,,,tentator ł seductor,tentator uel seductor,8v,2,c,A,T1,P0,F2,S22,,,
fatidicus,,,,diuͥnꝰ,diuinus,8v,2,d,Β,Τ2,P0,F2,S22,,,
beneuolus,,,,ꝗ bene uult ,qui bene uult,8v,4,a,A,T1,P0,F4,S23,,,
maliuolus,,,,inuiđ,inuidius,8v,4,b,A,T1,P0,F2,S22,,,
naufragus,,,,ꝗ cađ de naue,qui cadit de naue,8v,5,,Β,Τ2,P0,F4,S23,,,
uadũ,uadum,,,locus in fluminib;,locus in fluminibus,8v,6,a,Β,Τ2,P0,F3,S23,,,
uadis,,,,fideiussor,,8v,6,b,A,T1,P0,F2,S22,,*εγγυητής,
scalprum,,,,ab incidendũ,ab incidendum,8v,7,a,Β,Τ2,P0,F3,S23,,*forse ad incidendum = pour tuer,
fulcrũ,fulcrum,,,ornamentũ lecti,ornamentum lecti,8v,7,b,A,T1,P0,F3,S23,,,fulcrũ.ornam̃tũ lecti. dictũ qđ eo fultam᷑ id ÷ sustentem᷑ ł lectus & cubile;
iugũ,iugum,,,a iugendo,,8v,7,c,Β,Τ2,P0,F3,S54,,,
rara,,,,pauca,,8v,10,,Β,Τ2,P0,F2,S22,,,
inceptiuã,inchoatiuam,,,inchoatiuam,,8v,11,,Β,Τ2,P0,F2,S22,,,
clausulã,,,,t̃minacione,terminacione,8v,12,,Β,Τ2,P0,F2,S22,,,
cornicen,,,,cornu carens,,8v,13,,A,T1,P0,F3,S54,,"* même expl que 
Ars Bernensis - LLT
pag. : 74, linea : 1",
liticen,,,,lituo canens,,8v,14,a,A,T1,P0,F3,S54,,"* même expl que Ars Bernensis - LLTpag. : 74, linea : 2",
tibicen,,,,musatores,,8v,14,b,Β,Τ2,P0,F2,S22,,,
compos,,,,sotius siue effector uotiui,,8v,14,c,A,T1,P0,F3,S22,,,Cõpos possessor ł assecutor uoti;
auxpex,,,,inspector auiũ aurator,,8v,15,a,A,T1,P0,F3,S23,,,Auspex. qͥ auiũ auspicia id÷ quasi ospitia captat.
opifex,,,,adiutoriũ fatiens,,8v,15,b,A,T1,P0,F3,S23,,,
auceps,,,,aues capiens,,8v,16,a,A,T1,P0,F3,S54,,,
obex,,,,oppositio,,8v,16,b,A,T1,P0,F2,S22,,,
p̃ses,praeses,,,ꝗ alios excellit,,8v,17,a,A,T1,P0,F4,S23,,,
deses,,,,stultꝰ inconstans desidios,stultus inconstans desidios,8v,17,b,A,T1,P0,F2,S22,,,
quies,,,,reꝗes,requies,8v,17,c,A,T1,P1 right,F2,S22,,,
in tor in trix,,,,ł,uel,8v,21,,A,T1,P0,F1,S611,,,
