lemma_id,folio_VLO41,lemma_VLO41,gloss_VLO41,gloss_type_VLO41,gloss_form_VLO41,marginal_note_id_VLO41,marginal_note_type_VLO41,marginal_note_form_VLO41,folio_Bamberg,lemma_Bamberg,gloss_id,gloss_Bamberg,gloss_type_Bamberg,gloss_form_Bamberg,nature,marginal_note_id_Bamberg,marginal_note_type_Bamberg,marginal_note_form_Bamberg,page,folio,lemma,gloss_id_Latin7499,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
p448_l02_o04,02r,prolata,pñtiata,S22,F2,,,,71r,ꝓlata ,p448_l02_o04_a,enuntiata,S22,F2,normal,,,,p448,73r,ꝓlata  ,p448_l02_o04_a,narrata / ꝓnuntiata / enuntiata,S22,F3,,,
p448_l02_o06,02r,eos,s apud grecos,S3232,F3,,,,71r,eos ,p448_l02_o06_a,sb̶ gręcos,S3232,F2,normal,,,,p448,73r,eos ,p448_l02_o06_a,÷ grecos,S3232,F2,,,
p448_l02_o08,02r,ΠE/ΡΙCΠΟΜΕΝΕ,ꝑicpomene circũflexibilis,S211,F3,,,,71r,ꝑispomene ,p448_l02_o08_a,peri DIC ͥ ͭ ͧ ͬ circũ UNDE perispomene IDEST CIRCUM FLEXIBILIS,S211,F4,normal,,,,p448,73r,ΠΕΡΙCΠΩΜΕΝΗ ,p448_l02_o08_a,cirũflexibils; ΠΕΡΙCΠΩ ÷ circũfleto/ΠΕΡΙ dr̃ circũ unde perispomę / ne circũflexis accentꝰ,S211,F4,,,
p448_l04_o11,02v,dicunt,apellant,S22,F2,,,,71r,dicunt ,p448_l04_o11_a,sb̶ gręci,S415,F2,normal,,,,p448,73r,dicunt ,p448_l04_o11_a,.s. ipsi greci : in multis enĩ reguł : obseruationes gre / corũ seruamus : et in multis caremꝰ,S53,F4,,,
p448_l06_o05,02v,prorsus,certe /omnino,S22,F3,,,,71r,prorsus ,p448_l06_o05_a,omnino,S22,F2,normal,,,,p448,73r,ꝓrsus ,p448_l06_o05_a,certe om̃ino,S22,F3,,,
p448_l07_o01,02v,inditia,signa,S22,F2,,,,71r,indicia ,p448_l07_o01_a,signa,S22,F2,normal,,,,p448,73r,inditia ,p448_l07_o01_a,signa,S22,F2,p448_l07_o01_b,S53,F5
p448_l07_o05,02v,penitus,ex toto /& funditias,S22,F3,,,,71r,penitꝰ ,p448_l07_o05_a,funditꝰ,S22,F2,normal,,,,p448,73r,penitus ,p448_l07_o05_a,funditꝰ ꝑietũ,S23,F3,,,
p448_l08_o03,02v,imitari,seꝗ s̃ lat̃ ,S53,F2,,,,71r,imitari ,p448_l08_o03_a,sequi,S22,F2,normal,,,,p448,73r,imitari ,p448_l08_o03_a,seqͥ assimilari,S22,F3,,,
p448_l08_o05,02v,terminalẽ,& finalem,S22,F2,,,,71r,t̃minalẽ ,p448_l08_o05_a,finalẽ,S22,F2,normal,,,,p448,73r,terminalem ,p448_l08_o05_a,finalem,S22,F2,,,
p448_l11_o02,02v,carent,lat̃,S53,F2,,,,71r,carent ,p448_l11_o02_a,sb̶ uerba,S53,F2,normal,,,,p448,73v,carent. ,p448_l11_o02_a,ñ hñt s hnt : / .s. ipsa uerba,S53,F4,,,
p448_l14_o02,02v,penitus,funditꝰ,S22,F2,,,,71r,penitꝰ ,p448_l14_o02_a,radicitꝰ,S22,F2,normal,,,,p448,73v,penitꝰ ,p448_l14_o02_a,Radicitꝰ,S22,F2,,,
p448_l14_o04,02v,incerta,&ãbigua,S22,F2,,,,71r,incerta ,p448_l14_o04_a,dubia,S22,F2,normal,,,,p448,73v,incerta ,p448_l14_o04_a,dubia,S22,F2,,,
p448_l14_o08,02v,cogimur,c̃pellim᷑,S22,F2,,,,71r,cogim᷑ ,p448_l14_o08_a,cõpellim᷑,S22,F2,normal,,,,p448,73v,cogimur ,p448_l14_o08_a,cõpellim᷑ s. nisi ueniamꝰ,S22,F3,,,
