lemma_id,folio,lemma,gloss,gloss_type,gloss_form,marginal_note_text,marginal_type,marginal_form
p449_l22_o03,03v,polliceor,spondeo/prometto,S22,F3,,,
p449_l22_o04,03v,liqueor ,fluo,S22,F2,,,
p449_l22_o05,03v,medeor,medicor,S22,F2,,,
p449_l22_o06,03v,reor ,estimo,S22,F2,,,
p449_l22_o07,03v,mereor ,tristor,S22,F2,,,
p449_l22_o08,03v,uereor,timeo/orresco,S22,F3,,,
p449_l22_o10,03v,fateor,loquor /ꝓfiteor,S22,F3,,,
p450_l01_o01,03v,profiteor,affirmo,S22,F2,,,
f03v_l121_o04,03v,infiteor,ñc̃fiteor,S22,F2,,,
p450_l01_o03,03v,intueor,inspicio/uideo  c̃sidero,S22,F3,,,
p450_l01_o04,03v,notandũ,excipiunt᷑,S22,F2,,,
p450_l01_o08,03v,beo,bontifico,S22,F2,,,
p450_l01_o09,03v,creo,facio,S22,F2,,,
p450_l02_o01,03v,meo,pergo,S22,F2,,,
p450_l02_o03,03v,nauseo,fastidio,S22,F2,,,
p450_l02_o04,03v,enucleo,aperio,S22,F2,,,
p450_l02_o05,03v,laqueo,ligo,S22,F2,,,
p450_l02_o06,03v,screo,spuo,S22,F2,,,
p450_l02_o11,03v,queo,ualeo possũ,S22,F2,,,
p450_l04_o08,04r,pritiua,mi,S611,F1,,,
p450_l05_o05,04r,acuo ,aciũ facio,S54,F3,,,
p450_l05_o06,04r,induo ,uestio,S22,F2,,,
p450_l05_o07,04r,arguo,c̃uto eo rep̃hendo,S23,F3,,,
p450_l05_o08,04r,fluo ,dercurro,S22,F2,,,
p450_l05_o09,04r,polluo,sordo ł sordeo,S22,F2,,,
p450_l05_o11,04r,alluo,perfu(ndo),S22,F2,,,
p450_l06_o01,04r,innuo ,Signũ facio,S23,F3,,,
p450_l06_o02,04r,minuo ,subtruo,S22,F2,,,
p450_l06_o03,04r,spuo ,sereo,S22,F2,,,
p450_l06_o04,04r,ruo,cado,S22,F2,,,
p450_l06_o06,04r,metuo ,timeo,S22,F2,,,
p450_l06_o07,04r,fatuo ,desinio,S22,F2,,,
p450_l06_o09,04r,liquor,soluor/ fluor,S22,F2,,,
p450_l07_o03,04r,exceptis,s̃ separatis,S22,F2,,,
p450_l08_o05,04r,postea,insequentib;,S22,F2,,,
p450_l08_o11,04r,uacuo,inanio  ,S22,F2,,,
p450_l08_o13,04r,tenuo,exilẽ facio,S23,F3,,,
p450_l08_o14,04r,sinuo,cõplico,S22,F2,,,
p450_l09_o02,04r,continuo,c̃iungo,S22,F2,,,
p450_l09_o01,04r,isninuo,demonstro,S22,F2,,,
p450_l09_o03,04r,fluctuo ,uacillo,S22,F2,,,
p450_l09_o05,04r,tumultuor,contendo,S22,F2,,,
f04r_l08_o01,04r,uiduo ,diuido,S22,F2,,,
p450_l09_o04,04r,estuo,ferueo,S22,F2,,,
p450_l09_o06,04r,mutuor,inꝓmudo,S22,F3,,,
p450_l13_o02,04r,illa ,s̃  uerba,S3232,F2,,,
p450_l13_o05,04r,adherentia,s̃ copulata & coïunta uidelicet ꝑ diriuatione,S23,F3,,,
p450_l14_o02,04r,pio,purgo,S22,F2,,,
p450_l14_o05,04r,hio,aperio,S22,F2,,,
p450_l15_o07,04r,nuntius,legatꝰ,S22,F2,,,
p450_l16_o03,04r,sotius,comes uicinꝰ,S22,F3,,,
p450_l15_o10,04r,sautius,uulneratus,S22,F2,,,
p450_l16_o06,04r,curia,domꝰ,S22,F2,,,
p450_l18_o01,04r,Radius,uirga geometricalis,S23,F3,,,
p450_l18_o07,04r,conciliũ,iudiciũ,S22,F2,,,
p450_l19_o03,04r,defolio,detrao,S22,F2,,,
p450_l19_o05,04r,spolium,detra[h]ĩ polu,S23,F3,,,
p450_l19_o08,04r,sumnium,uisio,S22,F2,,,
p450_l20_o01-02,04r,sũnio sũnias,ł sõnior sũniaris ,S611,F3,dicitur m̃ a grecoꝝ ardiũ sõ/ [ni]um ł excitatio,S23,F4
p450_l20_o04,04r,delinio,lineã destro ł unguo,S22,F3,,,
p450_l20_o06,04r,auxilium,adiutoriũ [adiuta]?,S22,F3,,,
p450_l21_o01,04r,decorio,e criñabis traho,S23,F4,,,
p450_l21_o04,04r,furio,insanio,S22,F2,ł furior ari,S22,F2
p450_l21_o06,04r,uarius,diuersus ,S22,F2,,,
p450_l21_o08,04r,uario,titubo,S22,F2,,,
p450_l21_o09,04r,basiũ,ba[++],S22,F2,,,
p450_l16_o09,04r,fiducia,qͣsi c̃fido,S22,F2,,,
p450_l7_o03,04r,repudium,reicio,S22,F2,,,
p450_l7_o06,04r,tripudium,gaudiũ,S22,F2,,,
p450_l22_o04,04v,spatior,ãplifico,S22,F2,,,
p450_l22_o07,04v,deprecio,uilẽ facio,S22,F3,,,
p450_l22_o09,04v,initium,inchoatuꝫ,S22,F2,,,
p450_l23_o04,04v,uitio,corrupcio,S22,F2,,,
p450_l23_o11,04v,desinens ,t̃minans,S22,F2,,,
p450_l24_o02,04v,nom̃,s pͥmitiuũ,S53,F2,,,
p450_l24_o04,04v,appositũ,e associatũ,S22,F2,,,
p450_l25_o08,04v,hio,aperio,S22,F2,,,
p450_l26_o01,04v,pio,purgo/mundo,S22,F3,,,
p450_l26_o03-04,04v,quod licet,s uerbũ,S3232,F2,,,
p450_l27_o02,04v,amplio ,dilato,S22,F2,,,
p450_l27_o06,04v,amplior,cõpatiuus,S34,F2,,,
p450_l28_o08,04v,quo,s nomine,S3232,F2,,,
p450_l30_o02,04v,satias,ĩ sacietas.,S22,F3,,,
p451_l01_o03,04v,lanio,lacero /disrũpo ,S22,F3,,,
p451_l01_o10,04v,idẽ,iã p̃dictꝰ,S53,F3,,,
p451_l02_o05-06,04v,per apocopã ,ꝑ ablacionẽ  ,S22,F3,,,
p451_l02_o09,04v,lani,Quasi carnifex,S23,F3,,,
p451_l02_o10,04v,fartores,repletores,S22,F2,,,
p451_l04_o10,04v,priuatũ,aliena,S22,F2,,,
p451_l06_o01,04v,modis,uerborũ,S412,F2,,,
p451_l06_o07,04v,penultimã,S̃ illud uerbũ,S53,F3,,,
p451_l08_o04,04v,ambio,circumeo/cupio,S22,F3,,,
p451_l08_o06,04v,superbio,eleuo extollo,S22,F2,,,
p451_l08_o08,04v,sancio,iudico,S22,F2,,,
