folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
74v,p450_l08_o10,Tenuo ,p450_l08_o10_a,graci/lis facio,S23,F4,,,
74v,p450_l09_o02, Continuo ,p450_l09_o02_a,ꝓtelo/ł continuatĩ q̃ cepi fatio,S23,F4,,,
74v,p450_l09_o03,Fluctuo ,p450_l09_o03_a,dubito ł titubo,S22,F3,,,
74v,f74v_l09_o08,(add) ,f74v_l09_o08_a,+ .l. uero ante .o. habentia trium st̃ coniugationũ iđ primę. Tertię IIIIę,S611,F4,,,
74v,p450_l10_o09,Confusionis ,p450_l10_o09_a,cõmixtionis/ł ãbiguitati/ut possit discerni qͣ uerba/hñt .i. breuẽ ⁊ quę ꝓducta :s,S53,F4,p450_l10_o09_b,S631,F5
74v,p450_l11_o02,discernendę ,p450_l11_o02_a,discrepandę,S22,F2,,,
74v,p450_l11_o09,Licet ,p450_l11_o09_a,quãuis,S22,F2,,,
74v,f74v_l10_o08,(add): ,f74v_l10_o08_a,+Qđ om̃a uerba nõi adhęrentia pͥmę s̃ coniugatioñ,S611,F5,,,
74v,p450_l13_o01,illa ,p450_l13_o01_a,uerba,S3232,F2,,,
74v,p450_l13_o02,primę ,p450_l13_o02_a,coniugatioñ,S53,F2,,,
74v,p450_l13_o05,adhęrentia ,p450_l13_o05_a,quę nõib; adhęrent/seruientia .s. illa uerba adhęrent nõib qͣ hñt/similia nõa sibi a qͥb; diriuant᷑,S53,F4,p450_l13_o05_b,S53,F5
74v,p450_l13_o07-09,non minus trisillabis. ,p450_l13_o07-09_a,nõib,S53,F2,p450_l13_o07-09_b,S53,F5
74v,p450_l13_o10,absq; ,p450_l13_o10_a,et ideo excipiunt᷑ non enĩ respondent / genetiuo pͥmitiui/more alioꝵ p̃dictoꝵ,S53,F4,,,
74v,p450_l14_o01,pio  ,p450_l14_o01_a,mundo/inde expio,S24,F3,,,
74v,f74v_l11_o13,(add) ,f74v_l11_o13_a,.s. addit᷑ uio -as/a nõe uia,S611,F4,f74v_l11_o13_b,S53,F5
74v,p450_l15_o04-05,om̃i genere ,p450_l15_o04-05_a,ut nuntius nuntia/nuntiũ,S53,F3,,,
74v,p450_l15_o06,Nuntius ,p450_l15_o06_a,missos,S22,F2,,,
74v,p450_l15_o07,ñtio ,p450_l15_o07_a,narro,S22,F2,,,
74v,p450_l15_o09,Saucius ,p450_l15_o09_a,uulneratꝰ/ł uulnerator,S22,F3,,,
74v,p450_l16_o01,Saucio ,p450_l16_o01_a,uulnero,S22,F2,,,
74v,p450_l16_o03,Sotius ,p450_l16_o03_a,cõpar/sodalis/cliens,S22,F3,,,
74v,p450_l16_o04,Sotio ,p450_l16_o04_a,coniungo,S22,F2,,,
74v,p450_l16_o06,Curia. ,,,,,p450_l16_o06_b,S63,F3
74v,p450_l16_o07,decurio ,,,,,p450_l16_o07_a,S4181,F5
74v,p450_l16_o09,Fiducia ,p450_l16_o09_a,spes,S22,F2,,,
74v,p450_l17_o01,Fiducior ,p450_l17_o01_a,fidutiã habeo,S23,F3,,,
74v,p450_l17_o03,Repudiũ ,p450_l17_o03_a,Repulsio reiectio / respuo/inde repudiũ,S24,F4,,,
74v,p450_l17_o06,Tripudiũ ,p450_l17_o06_a,Gaudiũ,S22,F2,,,
74v,p450_l17_o07,Tripudio ,p450_l17_o07_a,triũpho,S22,F2,,,
74v,p450_l18_o01,Radius ,p450_l18_o01_a,splendor,S22,F2,,,
74v,p450_l18_o02,Radio ,p450_l18_o02_a,splendeo,S22,F2,,,
74v,p450_l18_o05,Consilior ,p450_l18_o05_a,consiliũ do,S23,F3,,,
74v,p450_l18_o07,Conciliũ ,p450_l18_o07_a,c̃gregatio,S22,F2,,,
74v,p450_l19_o03,defolio ,p450_l19_o03_a,folia carpo,S23,F3,,,
74v,p450_l19_o06,despolio ,p450_l19_o06_a,denudo,S22,F2,,,
74v,p450_l19_o08,Somnium ,p450_l19_o08_a,ipsa uisio,S23,F3,,,
74v,p450_l20_o03,Linia ,p450_l20_o03_a,blandim̃ta,S22,F2,,,
74v,p450_l20_o04,Delinio ,p450_l20_o04_a,blandior,S22,F2,,,
74v,p450_l20_o06,Auxiliũ ,p450_l20_o06_a,adium̃tũ,S22,F2,,,
74v,p450_l21_o01,Coriũ ,p450_l21_o01_a,pellis animaliũ cur?tis,S23,F3,,,
74v,p450_l21_o10,Basiũ ,p450_l21_o10_a,Inde basilica dr̃/regale tẽplum,S24,F4,,,
74v,p450_l22_o07,Depretio ,p450_l22_o07_a,uilẽ facio,S23,F3,,,
74v,p450_l22_o09,Initiũ ,p450_l22_o09_a,inchoatio,S22,F2,,,
74v,p450_l23_o03,Vitium ,p450_l23_o03_a,macula ł delictũ,S22,F3,,,
74v,f74v_l19_o04,Furia ,f74v_l19_o04_a,dea furoris,S554,F3,f74v_l19_o04_b,S554,F5
74v,f74v_l19_o05,Furior ,f74v_l19_o05_a,irascor,S22,F2,,,
74v,p450_l23_o07,itaq; ,p450_l23_o07_a,ergo,S22,F2,,,
74v,p450_l24_o04,appositũ ,p450_l24_o04_a,associatũ,S22,F2,,,
74v,p450_l24_o07,.i. ,p450_l24_o07_a,ut ÷ ñtius,S53,F3,,,
74v,p450_l24_o10,terminans ,p450_l24_o10_a,ipsũ nom̃,S53,F3,,,
74v,p450_l25_o08,Hio ,p450_l25_o08_a,os aperio ł spiro,S23,F3,,,
74v,p450_l26_o01,pio ,p450_l26_o01_a,mundo,S22,F2,,,
74v,p450_l26_o03,qđ ,p450_l26_o03_a,.s. uebũ hio/et pio,S53,F3,,,
74v,p450_l27_o02,Amplio ,p450_l27_o02_a,ãplifico accumulo/ł congrego,S22,F3,p450_l27_o02_b,S53,F5
75r,p451_l02_o05-06,ꝑ apocopam ,p451_l02_o05-06_a,ꝑ abscisionẽ ultimę litterę,S53,F3,,,
75r,p451_l02_o09,lani ,p451_l02_o09_a,ꝓ lanii,S611,F2,,,
75r,f75r_l04_o11,qđ ,f75r_l04_o11_a,÷ ꝓferre nõa ꝑ/apocopam,S53,F3,,,
75r,p451_l04_o01,predicta ,p451_l04_o01_a,Si ñ habeat .i. puram penultimã/& si non diriuetur a nõe minus tri/sillab;,S53,F4,,,
75r,p451_l04_o08,origine ,p451_l04_o08_a,"initio, fundam̃to",S22,F3,,,
75r,p451_l04_o10,priuatũ ,p451_l04_o10_a,fraudatũ/separatum/alienatũ,S22,F3,,,
75r,p451_l05_o05,diriuatũ ,p451_l05_o05_a,.s. sic̃ p̃dicta regula habet,S53,F4,,,
75r,p451_l07_o04-05,sine dubio ,p451_l07_o04-05_a,ꝓcul dubio,S22,F2,,,
75r,p451_l07_o06,cognoscit᷑ ,p451_l07_o06_a,agnoscit᷑,S22,F2,,,
75r,p451_l08_o04,Ambio ,p451_l08_o04_a,ab am et eo/÷ circumeo/ł concupisco,S25,F3,,,
75r,p451_l08_o08,Sanctio ,p451_l08_o08_a,definio,S22,F2,p451_l08_o08_b,S5,F5
75r,f75r_l07_o09,Artio ,f75r_l07_o09_a,consuo,S22,F2,,,
75r,p451_l09_o02,Fartio ,p451_l09_o02_a,repleo ÷ ꝓfli?o,S22,F3,,,
75r,p451_l09_o03,Expedio ,p451_l09_o03_a,expedio ex ex ⁊ pes/÷ absoluo ł conuenio/qͣsi ex pede,S25,F3,,,
75r,p451_l09_o04,Impedio ,p451_l09_o04_a,noceo ab in et pes;,S25,F3,,,
75r,p451_l09_o05,Fastidio ,p451_l09_o05_a,nauseo sperno  ł repudio,S22,F3,,,
75r,p451_l09_o06,Condio ,p451_l09_o06_a,salẽ mitto,S23,F3,,,
75r,p451_l09_o07,Custodio ,p451_l09_o07_a,ꝓuideo,S22,F2,,,
75r,p451_l09_o08,Erudio ,p451_l09_o08_a,doceo,S22,F2,p451_l09_o08_b,S54,F4
75r,p451_l09_o09,Oboedio ,p451_l09_o09_a,pareo seruio,S22,F3,,,
75r,p451_l10_o01,Vagio ,p451_l10_o01_a,plango ł ploro/ꝓprie uagire/inanio,S22,F3,,,
75r,p451_l10_o02,Presagio ,p451_l10_o02_a,futura p̃dico,S23,F3,p451_l10_o02_b,S5,F5
75r,p451_l10_o03,Salio ,p451_l10_o03_a,saltũ fatio,S23,F3,p451_l10_o03_b,S23,F4
75r,p451_l10_o04,Sepelio ,p451_l10_o04_a,infodio,S22,F2,,,
75r,p451_l10_o05,Stabilio ,p451_l10_o05_a,c̃firmo,S22,F2,,,
75r,p451_l10_o06,Mollio ,p451_l10_o06_a,mollis effitio,S23,F3,,,
75r,p451_l10_o07,Bullio ,p451_l10_o07_a,ferueo scateo /a nõe bulla,S54,F3,,,
75r,p451_l10_o08,Dormio ,p451_l10_o08_a,qͥesco,S22,F2,,,
75r,p451_l10_o09,Redimio ,p451_l10_o09_a,orno corono como edifico/ et inde redimicula ÷ or/namenta,S24,F4,,,
75r,p451_l10_o10,Exinanio ,p451_l10_o10_a,euacuo dem̃tior,S22,F3,,,
75r,p451_l11_o01,Insanio ,p451_l11_o01_a,seuio,S22,F2,,,
75r,p451_l11_o02,Lenio ,p451_l11_o02_a,Blandior,S22,F2,,,
75r,p451_l11_o04,Insignio ,p451_l11_o04_a,nobilio,S22,F2,p451_l11_o04_b,S5,F5
75r,p451_l11_o05,Finio ,p451_l11_o05_a,̃t̃mino,S22,F2,,,
75r,p451_l11_o06,Hinnio ,p451_l11_o06_a,equoꝵ ꝓpͥe,S23,F3,,,
75r,p451_l11_o08,Grunnio ,p451_l11_o08_a,porcoꝵ ꝓpͥe ẽ,S23,F3,,,
75r,p451_l11_o07,Tinnio ,p451_l11_o07_a,sono aeris est ꝓpͥe,S23,F3,,,
75r,p451_l11_o09,Munio ,p451_l11_o09_a,firmo/defendo,S22,F3,,,
75r,p451_l11_o10,Punio ,p451_l11_o10_a,dãpno/ł ulciscor,S22,F3,p451_l11_o10_b,S54,F4
75r,p451_l12_o01,Sepio ,p451_l12_o01_a,cirũdo,S22,F2,,,
75r,p451_l12_o02,sopio ,p451_l12_o02_a,dormio /Vnde sopinus et sopor qđ fuit a p̃ paganos defectiuũ/fit,S5,F4,,,
75r,p451_l12_o03,Ferio ,p451_l12_o03_a,ꝑcutio,S22,F2,,,
75r,f75r_l14_o11,Orio ,f75r_l14_o11_a,tego,S22,F2,,,
75r,f75r_l14_o13,Prio ,f75r_l14_o13_a,Resero,S22,F2,,,
75r,p451_l12_o06,Garrio ,p451_l12_o06_a,murmuro et inepte loquor et importo / auiũ ÷ ꝓpͥe garrire,S22,F4,p451_l12_o06_b,S23,F4
75r,p451_l12_o07,Ligurio ,p451_l12_o07_a,lingue gusto/lingo,S22,F3,,,
75r,p451_l12_o08,Esurio ,p451_l12_o08_a,meditor/esurire,S333,F3,p451_l12_o08_b,S333,F5
75r,p451_l12_o09,Nutrio ,p451_l12_o09_a,alo,S22,F2,,,
75r,p451_l12_o10,Micturio ,p451_l12_o10_a,ab eo qđ ÷ mingere/deducitur meditor min/gero,S54,F4,,,
75r,p451_l13_o01,Prurio ,p451_l13_o01_a,uerbũ leꝓsi ÷ scabeo,S23,F3,,,
75r,p451_l13_o02,Parturio ,p451_l13_o02_a,medito/parere,S33,F3,,,
75r,p451_l13_o03,Haurio ,p451_l13_o03_a,ꝓpino,S22,F2,,,
75r,p451_l13_o04,Irretio ,p451_l13_o04_a,illaq̃o/retineo,S22,F2,,,
75r,p451_l13_o05,Sentio ,p451_l13_o05_a,intelligo,S22,F2,p451_l13_o05_b,S5,F4
75r,p451_l13_o06,"Gestio -tis,  ",p451_l13_o06_a,inde gesta scõꝵ,S24,F3,,,
75r,p451_l13_o07,Vestio ,p451_l13_o07_a,fatio ł desidero/induo,S22,F3,,,
75r,f75r_l11_o13,Cooperio ,f75r_l11_o13_a,obumbro,S22,F2,,,
75r,p451_l13_o09,"Seruio -uis,  ",p451_l13_o09_a,oboedio,S22,F2,,,
75r,f75r_l12_o03,(add) ,f75r_l12_o03_a,iđ aut a noĩb trisillabis non habentib; .i. puram penultimam ut suꝑbio. Aut a/disillabis ut seuio Finio Seruio Vela uerbis,S611,F4,f75r_l12_o03_b,S5,F5
75r,p451_l16_o03,diriuata ,p451_l16_o03_a,deducta,S22,F2,,,
75r,p451_l16_o04-05,a nominib; ,p451_l16_o04-05_a,ut ambio,S53,F2,,,
75r,p451_l16_o06-07,non minus ,p451_l16_o06-07_a,.s. s minꝰ,S22,F3,,,
75r,p451_l16_o08,trisillabis ,p451_l16_o08_a,.s. sed disillabis,S221,F3,,,
75r,p451_l17_o06,notant᷑ ,p451_l17_o06_a,excipiunt᷑,S22,F2,,,
75r,p451_l17_o08,speciem ,p451_l17_o08_a,formã tam̃ ñ hñt potestatẽ  t̃rię st̃,S53,F4,,,
75r,f75r_l20_o08, alia  ,f75r_l20_o08_a,.s. qͣ ꝑueniunt ex his ad t̃tiã/coniugationẽ,S53,F4,,,
75r,p451_l20_o11-15,.a. ł .u. ante pio ,p451_l20_o11-15_a,.s. sic.a. ł .u. ante .cio.,S53,F3,p451_l20_o11-15_b,S53,F5
75r,p451_l21_o03,iatio ,p451_l21_o03_a,ꝓicio ł repello/ iaceo tam̃ in/lecto/inde iaclulũ,S23,F4,,,
75r,p451_l21_o04,Fatio ,,,,,p451_l21_o04_a,S5,F5
75r,p451_l21_o05,Aspicio ,p451_l21_o05_a,uideo,S22,F2,,,
75r,p451_l21_o06,Elicio ,p451_l21_o06_a,extorq̃o ł expͥmo/ꝓuoco illicib;,S22,F3,,,
75r,p451_l21_o08,Pelltio ,p451_l21_o08_a,decipio,S22,F2,,,
75r,p451_l21_o09,Int̃fitio ,p451_l21_o09_a,occido/int̃imo,S22,F3,,,
75r,p451_l21_o10,Offitio ,p451_l21_o10_a,offendo/ł noceo,S22,F3,,,
75r,f75r_l06_o23,Quatio ,f75r_l06_o23_a,ꝑcutio  uibro,S22,F3,,,
75r,p451_l22_o10,Concutio ,p451_l22_o10_a,cõmoueo,S22,F2,,,
75r,p451_l22_o01,Capio  ,p451_l22_o01_a,.s. ore ł manib;,S53,F3,,,
75v,p451_l22_o02,Sapio ,p451_l22_o02_a,suo,S22,F2,,,
75v,p451_l22_o03,cupio ,p451_l22_o03_a,desidero,S22,F2,,,
75v,p451_l22_o05,p̃terea ,p451_l22_o05_a,p̃t̃ illa que hñt a ł ę ante .uo. solũ et ante pio,S53,F4,,,
75v,p451_l22_o06,Fodio ,p451_l22_o06_a,fossã f?e?io,S23,F3,,,
75v,p451_l22_o07,Fugio  ,,,,,p451_l22_o07_a,S331,F4
75v,p451_l22_o11,Morior ,p451_l22_o11_a,intereo,S22,F2,,,
75v,p451_l23_o01,Patior ,p451_l23_o01_a,÷ sustineo / passionẽ,S23,F3,,,
75v,p451_l22_o04,Orior ,p451_l22_o04_a,nascor,S22,F2,,,
75v,p451_l23_o05,potior ,p451_l23_o05_a,possideo,S22,F2,,,
75v,p451_l25_o11,plerũq ,p451_l25_o11_a,frequenter,S22,F2,p451_l25_o11_b,S53,F5
75v,p451_l27_o01,diriuatũ ,p451_l27_o01_a,si non sit ÷  ñ ⁊? si ponit᷑ hic ꝓ ,S53,F5,p451_l27_o01_b,S53,F5
75v,p451_l27_o05,meditatiuũ ,p451_l27_o05_a,.i. quartę,S53,F2,,,
75v,p451_l27_o07,inchoatiuũ ,p451_l27_o07_a,ut tertię,S53,F2,,,
75v,p451_l27_o09,frequentatiuũ ,p451_l27_o09_a,ut primę,S53,F2,,,
75v,p451_l27_o10,qͣ  ,p451_l27_o10_a,.s. ex illis quę carent/uocali ante .o. illa/tam̃ quę primitiua st̃ / ex istis/quę ca/rent/uocali/ante .o./st̃ t̃tię/coniu/gatio/nis ut/scribo,S53,F5,,,
75v,p451_l28_o08,nec ,p451_l28_o08_a,s. sit,S53,F2,,,
75v,f75v_l09_o01,diriuata ,f75v_l09_o01_a,.s. uerũ uerba a nõib an nõa uerbis,S53,F4,,,
75v,f75v_l09_o04-06,in dubiũ uenire.   ,,,,,f75v_l09_o04-06_a,S53,F5
75v,p451_l33_o03,disserere ,p451_l33_o03_a,exponere,S22,F2,,,
75v,p451_l33_o05,sciendũ ,p451_l33_o05_a,Reꝗ,S22,F2,,,
75v,p451_l34_o01-02,qͣq;-sint ,p451_l34_o01-02_a,cuncta rerũ ꝓcreata elem̃ta,S53,F3,,,
75v,p451_l34_o05,ubertati ,p451_l34_o05_a,abundantię,S22,F2,,,
75v,p451_l34_o06,uocũ ,p451_l34_o06_a,uerboꝵ,S22,F2,,,
75v,p451_l34_o07,studens ,p451_l34_o07_a,satagens/operã dans,S23,F3,,,
75v,p451_l34_o08,natura ,p451_l34_o08_a,.s. hominũ/tam̃ ꝑdm̃,S412,F3,,,
75v,p451_l35_o06,ꝓcreauit ,p451_l35_o06_a,ꝓgenuit,S22,F2,p451_l35_o06_b,S5,F5
75v,p451_l35_o08,multa ,p451_l35_o08_a,.s. uerba,S3232,F2,,,
75v,p451_l36_o05,genuit ,p451_l36_o05_a,.s. natura/ꝓcreauit,S22,F3,,,
75v,p452_l01_o01,dedit ,p452_l01_o01_a,ascribit,S22,F2,,,
75v,p452_l01_o05,postea ,p452_l01_o05_a,Postea dicit :  pͥus dicet de nõib uenientia a uerbis/et postea de uerbis uenientib; a nõibus,S64,F5,,,
75v,p452_l02_o04,motu ,p452_l02_o04_a,modo,S22,F2,,,
75v,p452_l02_o07,eas ,p452_l02_o07_a,.s. terminationes,S3232,F2,,,
75v,p452_l03_o04,diriuatione ,p452_l03_o04_a,.s. ipsa natura studens,S53,F3,,,
75v,p452_l03_o06,Quas ,p452_l03_o06_a,t̃minationes,S3232,F2,,,
75v,p452_l03_o09,ꝑceperit ,p452_l03_o09_a,÷ ꝗ memorię tradiderit ÷ sciuerit,S22,F3,,,
75v,p452_l04_o03,adhęrentia ,p452_l04_o03_a,seruientia,S22,F2,,,
75v,p452_l04_o07,ipsa ,p452_l04_o07_a,nõa,S3232,F2,,,
75v,p452_l05_o01,origines ,p452_l05_o01_a,initia ł pͥmor/dia,S22,F3,,,
75v,p452_l05_o03,deducant᷑ ,p452_l05_o03_a,diriuent᷑,S22,F2,,,
75v,p452_l05_o07,trib; ,p452_l05_o07_a,"trib; quasi fontib; uerboꝵ  ꝓ uno fonte cõputat diriuationẽ ab infinitiuo/ftõ ⁊ a participiis  participia ab infinitiuo ftõ ueniunt ut lectum lectus/Quasi : aduerbiũ an firmantis est  quamuis
cõputetur. qartius fons tamen idẽ/ẽ quar/tus &/t̃tius/fons",S53,F5,,,
75v,p452_l06_o05-07,ab indicatiuo pręsenti ,p452_l06_o05-07_a,ut scribo scriba,S53,F3,,,
75v,p452_l06_o09-10,a pt̃o ꝑfecto ,p452_l06_o09-10_a,ut Rexi Rex,S53,F3,,,
75v,p452_l07_o03-05,ab infinitiuo futuro ,p452_l07_o03-05_a,ut oratũ ire oraculũ,S53,F3,,,
75v,p452_l07_o07,a participiis ,p452_l07_o07_a,ut oratus -ta -tũ,S53,F3,,,
75v,p452_l07_o09,singulis ,p452_l07_o09_a,nõib;,S3232,F2,,,
75v,p452_l07_o11,certę ,p452_l07_o11_a,Certę st̃ istę clausulę :  ꝑ illas ostenduntur : diriuatio/nes NomiNum,S53,F4,,,
75v,p452_l08_o05,generales ,p452_l08_o05_a,÷ cõmunes,S22,F2,,,
75v,p452_l08_o07,spetiales ,p452_l08_o07_a,ꝓpͥe,S22,F2,,,
75v,p452_l08_o08,destinatę. ,p452_l08_o08_a,disciretę/ordinatę,S22,F3,,,
75v,p452_l08_o10,autem ,p452_l08_o10_a,"Nunc dic& regulas nominũ uenientium a uerbis et/postea dicet uerboꝵ s prius dicet terminationes &/pos
                                    t termninationes : dicet diriuatioNes",S64,F4,,,
75v,p452_l10_o02,hę ,,,,,p452_l10_o02_a,S53,F5
75v,p452_l10_o04,in ,p452_l10_o04_a,s. ꝑ .c. & ꝑ .t.,S53,F3,,,
75v,p452_l10_o09,.iculũ. ,p452_l10_o09_a,.s. Est enim nomen ñ sopinum hic:  simili casui iungitur : obseruando s/st terminationes hę quas p̃dixi uidelicet ñ alter  nͥ illo obseruando/÷ illud obseruando,S53,F5,,,
76r,p452_l11_o09-10,in-.us. ,p452_l11_o09-10_a,s. ꝓpt̃ pandus dic̃imus,S53,F4,,,
76r,p452_l13_o05,scilicet ,p452_l13_o05_a,.s. iure,S22,F2,,,
76r,p452_l13_o08,positionis ,p452_l13_o08_a,÷ primę ꝑsonę indicatiui modi,S53,F3,p452_l13_o08_b,S631,F5
76r,p452_l15_o01-02,  uocali incipientib; ,,,,,p452_l15_o01-02_a,S53,F5
76r,p452_l15_o08,Litigo ,p452_l15_o08_a,altercor,S22,F2,p452_l15_o08_b,S5,F5
76r,p452_l15_o09,Litigiũ ,p452_l15_o09_a,Rixa,S22,F2,,,
76r,p452_l15_o10,Mercor ,p452_l15_o10_a,cõmuto,S22,F2,,,
76r,p452_l15_o11,Cõmertium ,p452_l15_o11_a,mercatio lucrũ,S22,F3,,,
76r,p452_l16_o01,Obsono ,p452_l16_o01_a,ct̃ sono ł conunio,S22,F3,p452_l16_o01_b,S5,F4
76r,p452_l16_o02,Obsonũ ,p452_l16_o02_a,uenale,S22,F2,p452_l16_o02_b,S23,F3
76r,p452_l16_o03,Vestigo ,p452_l16_o03_a,sequor,S22,F2,,,
76r,p452_l19_o04,Nubo ,p452_l19_o04_a,uxorem duco,S23,F3,,,
76r,p452_l19_o05,Conubiũ ,p452_l19_o05_a,c̃iugium,S22,F2,p452_l19_o05_b,S22,F4
76r,p452_l16_o05,Aedifico ,p452_l16_o05_a,construo,S22,F2,,,
76r,p452_l16_o07,Sacrifio ,p452_l16_o07_a,consecro/offero/immolo,S22,F3,,,
76r,p452_l17_o01,Sacrifitium ,p452_l17_o01_a,oblatio,S22,F2,,,
76r,p452_l17_o02,Participo ,p452_l17_o02_a,partẽ capio,S25,F3,,,
76r,p452_l17_o04,Mancipo ,p452_l17_o04_a,subdo/manu capio,S22,F3,,,
76r,p452_l17_o05,Mancipiũ ,p452_l17_o05_a,qđqđ manu capit,S25,F3,,,
76r,p452_l17_o06,Impero ,p452_l17_o06_a,regno precipio,S22,F3,,,
76r,p452_l17_o07,Imperium ,p452_l17_o07_a,regnũ potestas,S22,F3,,,
76r,p452_l18_o01,Conuiuor ,p452_l18_o01_a,cũ ãliis uiuo/ad conuiuium sum / a conuiua dictũ,S23,F4,,,
76r,p452_l18_o02,Conuiuium ,p452_l18_o02_a,cõmunis/uita,S25,F3,,,
76r,p452_l18_o03,Prandeo ,p452_l18_o03_a,iñ cęno in nocte,S23,F4,,,
76r,p452_l18_o05,Gaudeo ,p452_l18_o05_a,congratulor,S22,F2,,,
76r,p452_l18_o07,Pręsideo ,p452_l18_o07_a,antesedeo/seu pręsum,S22,F3,,,
76r,p452_l19_o01,Pręsidium ,p452_l19_o01_a,adiutorium/ł aduiuo,S22,F3,,,
76r,p452_l19_o02,Medeor ,p452_l19_o02_a,medicor sano,S22,F3,,,
76r,p452_l19_o03,Remediũ ,p452_l19_o03_a,sanitas medicina,S22,F3,,,
76r,p452_l19_o07,"Periurium,  ",,,,,p452_l19_o07_a,S23,F5
76r,p452_l20_o01,Fastidio ,p452_l20_o01_a,sperno nãuseo ł reicio,S22,F3,,,
76r,p452_l20_o03,Exulo ,p452_l20_o03_a,peregrinor,S22,F2,p452_l20_o03_b,S23,F5
76r,p452_l20_o04,Consulo ,p452_l20_o04_a,consiliũ do/ꝑcunctor,S23,F3,p452_l20_o04_b,S23,F4
76r,p452_l20_o06,.u. ,p452_l20_o06_a,causa euphonię,S53,F3,,,
76r,p452_l20_o07,Exilũ ,p452_l20_o07_a,peregrinatio,S22,F2,,,
76r,p452_l21_o01,Obsequor ,p452_l21_o01_a,oboedio/obtẽmpero,S22,F3,,,
76r,p452_l21_o02,Obsequium ,p452_l21_o02_a,auxiliũ,S22,F2,,,
76r,p452_l21_o05,Domunculo ,p452_l21_o05_a,paruã domũ fatio,S23,F4,p452_l21_o05_b,S5,F5
76r,p452_l21_o06,Domicilium ,p452_l21_o06_a,domꝰ auiũ,S23,F3,,,
76r,p452_l22_o04,Iustitium ,p452_l22_o04_a,locus ubi iustitia sit,S23,F4,,,
76r,p452_l22_o01,Solsto ,p452_l22_o01_a,solẽ stare facio,S23,F4,p452_l22_o01_b,S5,F5
76r,p452_l22_o02,Solstitium ,p452_l22_o02_a,solis statio,S25,F3,,,
76r,p452_l22_o05,Cerno ,p452_l22_o05_a,uideo,S22,F2,,,
76r,p452_l22_o06,Silicernium ,p452_l22_o06_a,ipsa res,S23,F3,p452_l22_o06_b,S4181,F5
76r,p452_l22_o07-09,itẽ-an-.iculũ. ,p452_l22_o07-09_a,.s. seruat᷑ consonans,S53,F4,,,
76r,p452_l23_o02,Ridiculum ,p452_l23_o02_a,paruus risus/ł derisio/chachinnus,S22,F3,,,
76r,p452_l23_o03,Perpendo ,p452_l23_o03_a,coęquo ꝑpendo/mensuro,S22,F3,,,
76r,p452_l23_o04,Perpendiculũ ,p452_l23_o04_a,Genus mensurę ẽ,S23,F4,p452_l23_o04_b,S5,F5
76r,p452_l23_o05,Euerso ,p452_l23_o05_a,destruo,S22,F2,,,
76r,p452_l23_o06,Euersiculũ ,p452_l23_o06_a,destructio diuisio,S22,F3,,,
76r,p452_l23_o07,Euerto ,p452_l23_o07_a,ł di,S22,F1,,,
76r,p452_l24_o01,Euerticulũ ,p452_l24_o01_a,diuerticula s̃ semitę transuersę,S23,F4,,,
76r,p452_l24_o02,Veho ,p452_l24_o02_a,porto,S22,F2,,,
76r,p452_l24_o03,Vehiculũ ,p452_l24_o03_a,plaustrũ,S22,F2,,,
76r,p452_l24_o04,Pereo ,,,,,p452_l24_o04_b,S5,F4
76r,p452_l24_o05,Periculũ ,,,,,p452_l24_o05_a,S21,F5
76r,p452_l24_o07,Ferculũ ,p452_l24_o07_a,discus mensa,S22,F3,,,
76r,f76r_l20_o04,ΑΔΩ ,f76r_l20_o04_a,÷ cano,S211,F2,,,
76r,f76r_l21_o02,ΑΝΕΤΟ ,f76r_l21_o02_a,÷ repleo,S211,F2,,,
76r,f76r_l21_o03,ΦΡΑΞΩ ,f76r_l21_o03_a,÷ dissero,S211,F2,,,
76r,f76r_l21_o04,ΦΡΑCΙC ,f76r_l21_o04_a,÷ loq̃la,S211,F2,,,
76r,f76r_l22_o08,ΚΡΑΔΑΙΝΩ ,f76r_l22_o08_a,crispo chorusco uibro.,S211,F3,,,
76v,f76v_l01_o06,ΚΑΡΙΝΩ ,f76v_l01_o06_a,fodio,S211,F2,,,
76v,f76v_l01_o07,CΠΕΙΡΩ  ,f76v_l01_o07_a,semino,S211,F2,,,
76v,f76v_l01_o08,CΠΕΡΜΑ ,f76v_l01_o08_a,sem̃,S211,F2,,,
76v,f76v_l02_o06,ΛΕΠΙΞΩ ,f76v_l02_o06_a,squameo,S211,F2,,,
76v,f76v_l04_o06,ΛΑΛΙΑ ,f76v_l04_o06_a,loquela,S22,F2,,,
76v,f76v_l04_o07,ΤΗΛΛΩ ,f76v_l04_o07_a,honoro,S211,F2,,,
76v,f76v_l04_o08,ΤΗΜΗ ,f76v_l04_o08_a,honor,S211,F2,,,
76v,f76v_l05_o02,CΤΕΦΑΝΟC ,f76v_l05_o02_a,corona,S211,F2,,,
76v,f76v_l05_o03,CΤΕΦΑΝΩΜΑ ,f76v_l05_o03_a,infula stẽma,S211,F2,,,
76v,p452_l25_o02,uintio ,p452_l25_o02_a,supero/ligo,S22,F3,,,
76v,p452_l25_o03,uinculũ ,p452_l25_o03_a,ligamentũ ÷ ligam̃,S22,F2,,,
76v,p452_l25_o05,cinculũ ,p452_l25_o05_a,tona,S22,F2,,,
