folio,lemma_id,lemma,gloss_id,gloss,gloss_type,gloss_form,marginal_note_id,marginal_note_type,marginal_note_form
78v,p455_l20_o02,Incrementũ ,p455_l20_o02_a,augm̃tũ,S22,F2,p455_l20_o02_b,S313,F3
78v,p455_l20_o04,Foramen ,p455_l20_o04_a,ꝑ tusũ,S22,F2,p455_l20_o04_b,S313,F3
78v,p455_l20_o03,Solamen ,p455_l20_o03_a,consolatio/adiutoriũ,S22,F3,,,
78v,p455_l20_o05,Purgamen ,p455_l20_o05_a,÷ purgatio,S23,F3,,,
78v,p455_l20_o06,Flamen ,p455_l20_o06_a,sp̃s seuius uentorũ/÷ flatus,S554,F3,p455_l20_o06_b,S23,F5
78v,p455_l20_o07,Liquamen ,p455_l20_o07_a,num̃ potestas,S554,F3,,,
78v,p455_l21_o02,Certamen  ,p455_l21_o02_a,certam̃ dr̃ bellũ pugna agon/conflictus ł conflictio,S23,F3,,,
78v,p455_l21_o04,Fracmen ,p455_l21_o04_a,crusta unius cuiusq rei,S23,F3,p455_l21_o04_b,S311,F4
78v,p455_l21_o06,Munimen ,p455_l21_o06_a,firmatio,S22,F2,,,
78v,p455_l21_o01,Ligam̃  ,p455_l21_o01_a,ligatio,S22,F2,,,
78v,p455_l21_o03,Augmen ,p455_l21_o03_a,augm̃tũ ł om̃/siue auguriũ,S22,F3,,,
78v,p455_l21_o07,Flumen. ,p455_l21_o07_a,occursio/ł defallatio,S22,F3,,,
78v,p455_l22_o02,amabilis ,p455_l22_o02_a,amando habilis,S23,F3,,,
78v,p455_l22_o04,Laudabilis ,p455_l22_o04_a,habilis ad laudandũ,S23,F3,,,
78v,p455_l23_o01,Notũ ,p455_l23_o01_a,noscendo habilis,S23,F3,,,
78v,p455_l27_o01,mutatione ,p455_l27_o01_a,ut ꝓbatũ ire dempta .um. ⁊ ire & addita .tio. fit ꝓbatio laudatio ad ęquatio ꝓbatũ tũ in .tio. fit/ꝓbatio ⁊rł.,S53,F5,,,
78v,p455_l28_o03,Obrigatio ,p455_l28_o03_a,obrigo ÷ asꝑgo aquã/asꝑsio ł c̃gelatio,S23,F4,,,
78v,p455_l28_o05,Vsurpatio ,p455_l28_o05_a,Vsurpo c̃tra usũ fatio/seu contra usũ uti/ñ ꝓpͥa acceptio,S23,F4,,,
78v,p455_l28_o06,Aequatio ,p455_l28_o06_a,assimilatio,S22,F2,,,
78v,p455_l28_o07,Obseruatio ,p455_l28_o07_a,custodia,S22,F2,,,
78v,p455_l29_o01,Exibitio ,p455_l29_o01_a,datio manifestatio/tribulatio p̃bitio,S22,F3,,,
78v,p455_l29_o02,Munitio ,p455_l29_o02_a,firmatio/defensio,S22,F3,,,
78v,p455_l30_o01,Venatrix ,p455_l30_o01_a,ꝗ uenationẽ exerc&,S23,F4,,,
78v,p455_l30_o02,Fultor ,p455_l30_o02_a,sustenator/fultio,S22,F3,,,
78v,p455_l30_o06,Petitor ,p455_l30_o06_a,dictor dictrix,S22,F3,,,
78v,p455_l31_o02,Nutrix ,p455_l31_o02_a,Nutritor nutrix causa alternitatis/qđ nutritrix NoN facit,S313,F4,,,
78v,p456_l01_o08,Textor ,p456_l01_o08_a,ꝗ telã texit cõpono/opus textricis,S23,F4,,,
78v,p456_l01_o05,Tonsor ,p456_l01_o05_a,ꝗ tond&,S23,F4,,,
78v,p456_l01_o06,Tonstrix ,p456_l01_o06_a,dr̃ mulier ꝗ tond&,S23,F4,p456_l01_o06_b,S8141,F5
78v,p456_l01_o07,Tonstrina ,p456_l01_o07_a,opꝰ tonsoris,S23,F3,,,
78v,p456_l01_o11,It̃ ,p456_l01_o11_a,.s. inuenit᷑ uocał ł consonans,S53,F4,,,
78v,p456_l02_o01,Optatiuꝰ ,p456_l02_o01_a,optatũ tũ/in .tiuus./fit optatiuuꝰ,S22,F3,,,
78v,p456_l02_o04,Subditiuus. ,p456_l02_o04_a,subiectiuus .s. seruus,S22,F3,,,
78v,p456_l02_o05-06,Nec non ,p456_l02_o05-06_a,.s. inuenit᷑ uocalis ł c̃sonans,S53,F4,,,
79r,p456_l04_o09,iussio ,p456_l04_o09_a,ꝓcessio,S22,F2,,,
79r,p456_l04_o10,mersio ,p456_l04_o10_a,intinctio,S22,F2,,,
79r,p456_l04_o11,lesio ,p456_l04_o11_a,offensio,S22,F2,,,
79r,p456_l05_o02,Iussor ,p456_l05_o02_a,p̃ceptor,S22,F2,,,
79r,p456_l05_o03,Suasor ,p456_l05_o03_a,adhortator,S22,F2,,,
79r,p456_l05_o04,Risor ,p456_l05_o04_a,qͥ rid&,S23,F4,,,
79r,p456_l05_o05,Pransor ,p456_l05_o05_a,qͥ prand&,S23,F4,,,
79r,p456_l05_o06,Sponsor ,p456_l05_o06_a,ꝓmissor,S22,F2,,,
79r,p456_l05_o07,Tensor ,p456_l05_o07_a,qͥ tondit,S23,F4,,,
79r,p456_l05_o08,defensor ,p456_l05_o08_a,qͥ defendit,S23,F4,,,
79r,p456_l05_o09,lusor ,p456_l05_o09_a,qͥ ludit,S23,F4,,,
79r,p456_l05_10,Visibilis ,p456_l05_10_a,uidendo habił/ł facilis ad uidendũ,S23,F4,,,
79r,p456_l06_01,Plausibilis ,p456_l06_01_a,÷ qui cũ manib; facit pneumata/ͣł qͥ facile plausũ facit ÷ sonũ,S23,F4,,,
79r,p456_l06_03,Missibilis ,p456_l06_03_a,ꝗ facile mittit᷑/sagita ł dãbra,S23,F4,,,
79r,p456_l06_o05,Flatilis ,p456_l06_o05_a,ab eo qđ ÷/flo ÷ spiro,S54,F4,,,
79r,f79r_l04_o02,Tectilis ,f79r_l04_o02_a,qͥ tegit,S23,F4,,,
79r,p456_l06_o06,Fictilis) ,p456_l06_o06_a,ab eo qđ ÷ fingo ÷ cõpono dr̃ qͥ fingit ÷ cõponit,S54,F4,,,
79r,p456_l06_o07,Textilis ,p456_l06_o07_a,ꝗ texit,S23,F4,,,
79r,p456_l06_o08,Altilis ,p456_l06_o08_a,auis qͣ saginatur,S23,F4,p456_l06_o08_b,S23,F5
79r,p456_l06_o09,Scriptilis ,p456_l06_o09_a,scribendo habił,S23,F3,,,
79r,p456_l06_o10,Tortilis ,p456_l06_o10_a,ꝗ facile/torquet᷑ ł habił ad torquendũ,S23,F4,,,
79r,p456_l07_o03,aduentitius ,p456_l07_o03_a,ꝗ aliunde adueñ,S23,F4,,,
79r,p456_l07_o04,Aduectitius ,p456_l07_o04_a,apportatitius,S22,F2,p456_l07_o04_b,S23,F4
79r,p456_l07_o05,Cõmentitius. ,,,,,p456_l07_o05_b,S62,F5
79r,p456_l07_o06,steti ,p456_l07_o06_a,ab infinitiuo,S53,F3,,,
79r,p456_l07_o09,status ,p456_l07_o09_a,idẽ ÷,S53,F2,,,
79r,p456_l08_o10,cęsar ,,,,,p456_l08_o10_a,S553,F5
79r,p456_l10_o09,Rupes ,p456_l10_o09_a,petrę durisimę,S23,F3,p456_l10_o09_b,S23,F5
79r,p456_l10_o11,Ambages ,p456_l10_o11_a,concertationes ł c̃flictiones ł dubitationes/circuitiones ł an/fractus,S22,F3,,,
79r,p456_l12_o01, genera. ,p456_l12_o01_a,ꝑ mascłm ⁊ femininũ ⁊ neut̃,S53,F3,,,
79r,p456_l12_o02-03,Eodẽq; modo ,p456_l12_o02-03_a,Eodẽ modo dicit ÷ sic ut ꝑ singulas coniuga/tiones. eodẽ modo & ꝑ significationes singulas,S53,F4,,,
79r,p456_l12_o09,significationes ,p456_l12_o09_a,÷ genera,S22,F2,,,
79r,f79r_l11_o08,manđ ,,,,,f79r_l11_o08_a,S522,F5
79r,p456_l15_o01,Furibunđ ,p456_l15_o01_a,simił furenti,S22,F3,,,
79r,p456_l16_o06-07,in accidentib; ,p456_l16_o06-07_a,÷ in adiectiuis,S22,F3,,,
79r,p456_l16_o08,noĩb; ,p456_l16_o08_a,s. inuenit᷑,S53,F3,,,
79r,p456_l17_o04,uocabulis ,p456_l17_o04_a,Vocabulis ÷ nominib in una enĩ forma/.s. fiunt  istę diriuationes,S23,F4,,,
79r,p456_l17_o06,participiis ,p456_l17_o06_a,st̃ ista fixa & participia/et ideo dicit participiis,S23,F4,,,
79r,p456_l17_o09,femininis ,p456_l17_o09_a,s. in uocabulis uel participiis,S53,F3,,,
79r,p456_l18_o03,Pictura ,p456_l18_o03_a,a pingendo dr̃,S54,F4,p456_l18_o03_b,S5,F5
79r,p456_l18_o04,Scriptura ,,,,,,,
79r,p456_l18_o05,Litura ,p456_l18_o05_a,planatura/ͣł planatio seu/deletio uni/uscuiusq rei,S23,F3,,,
79r,p456_l18_o06,Natura ,p456_l18_o06_a,origo a nascendo dicta,S54,F3,,,
79r,p456_l18_o07,censura. ,p456_l18_o07_a,iuditiũ iudicatio/ł̃ mensuratio,S22,F3,,,
79r,p456_l19_o05,inutilẽ ,p456_l19_o05_a,infructuosã/s utilem,S22,F3,,,
79r,p456_l19_o07,qua  ,p456_l19_o07_a,ͣł ꝗa .s. obseruatione,S53,F3,,,
79r,p456_l19_o11-13,natura frequentius artis ,,,,,p456_l19_o11-13_a,S5,F5
79r,p456_l20_o07,adminiculo ,p456_l20_o07_a,adium̃to/auxilio,S22,F3,p456_l20_o07_b,S53,F4
79r,p456_l20_o08,Quippe ,p456_l20_o08_a,certe non sine causa tradit᷑ illa obseruatio,S53,F4,p456_l20_o08_b,S5,F5
79r,p456_l21_o04,origine ,p456_l21_o04_a,fundam̃to/initio,S22,F3,,,
79r,p456_l21_o05,deducta ,p456_l21_o05_a,diriuata,S22,F2,,,
79r,p456_l21_o09,fonte ,p456_l21_o09_a,Antea dixit a trib; fontib; nc̃ tam̃ a duob;/ab indicatiuo pręsenti ⁊ ab infinitiuo fut̃o,S53,F4,,,
79r,p456_l21_o10,manantia. ,p456_l21_o10_a,fluentia ꝓcedentia,S22,F3,,,
79r,p456_l22_o01,diuersa ,p456_l22_o01_a,.s. ex,S34,F2,,,
79r,p456_l22_o02,litterarũ ,p456_l22_o02_a,s. hoc st̃ differentię rerũ,S53,F4,,,
79r,p456_l22_o04,separauit ,p456_l22_o04_a,s. natura,S415,F2,,,
79r,p456_l23_o05,casualis ,p456_l23_o05_a,quę declinat᷑ ꝑ om̃s casꝰ,S23,F4,,,
79r,p456_l23_o06-07,om̃s consonantes  ,,,,,p456_l23_o06-07_a,S631,F5
79r,p456_l24_o01,positionis ,p456_l24_o01_a,primę ꝑsonę,S53,F3,,,
79r,p456_l24_o04,posuit. ,p456_l24_o04_a,s. natura,S415,F2,,,
79r,p456_l24_o05,duab; ,p456_l24_o05_a,s. litteris,S53,F2,,,
79r,p456_l24_o06,exceptis ,p456_l24_o06_a,segregatis,S22,F2,,,
79r,p456_l24_o07,tantũ. ,p456_l24_o07_a,ͣł tamen,S22,F2,,,
79v,p456_l26_o06,ut ,p456_l26_o06_a,ꝑmisit natura,S53,F4,,,
79v,p456_l27_o01,luceant ,p456_l27_o01_a,clareant ⁊ .s. ⁊ .t. appareant,S22,F3,,,
79v,p456_l27_o09,descendunt ,p456_l27_o09_a,diriuant᷑,S22,F2,,,
79v,p456_l27_o10,ut ,p456_l27_o10_a,sicuti,S22,F2,,,
